term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.87108026871913,0.6975967807668643,75.79031573310624,0.0,51.50370760932864,54.23845292810962
C(tense)[T.past perfect],0.2602065858968343,0.2560700511543906,1.0161539185226691,0.30957215306565783,-0.24172117020938966,0.7621343420030583
C(tense)[T.present continuous],-0.11476765733962534,0.2560700511543891,-0.44818852037651963,0.6540234886515506,-0.6166954134458464,0.38716009876659574
C(tense)[T.present perfect],-0.15003782495264115,0.25607005115439124,-0.5859249227945812,0.5579346047797022,-0.6519655810588665,0.35188993115358413
C(tense)[T.simple future],0.3770011883886397,0.2560700511543907,1.472258027399451,0.14097176717564253,-0.12492656771758448,0.8789289444948639
C(tense)[T.simple past],0.03218164763874837,0.256070051154391,0.12567517167146286,0.899990706205222,-0.4697461084674765,0.5341094037449732
C(semantic_role)[T.patient],-0.14409169951226034,0.1359681386174322,-1.0597460624042596,0.2892768582712643,-0.4106054226537478,0.12242202362922708
C(syntactic_role)[T.subject],-0.43127848340303193,0.15493905369520233,-2.7835363203614714,0.005383576518866493,-0.7349774564140007,-0.12757951039206317
C(valence)[T.-val],0.2320944482748783,0.14240090606219574,1.629866372995601,0.10315031248574086,-0.0470282641433622,0.5112171606931188
C(dominance)[T.-dom],-0.2593535057861411,0.13596813861743273,-1.9074579414216448,0.05648000372376067,-0.5258672289276296,0.007160217355347387
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020488317,0.06555638784884127,0.11426683602154449,0.9090277695653289,-0.12100739615116443,0.13598923819214107
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351561116,0.06555638784884135,-1.060725823941811,0.2888312521911515,-0.19803567068726408,0.058960963656041754
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.043705368041990864,0.06555638784884159,0.6666835906634407,0.5049843082670588,-0.08479294912966252,0.17220368521364426
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479009604,0.06555638784884138,-1.415594846440829,0.15691450112820646,-0.22129960196174903,0.03569703238155693
