term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.80885888164693,0.6952280790658432,75.95904203496008,0.0,51.44612915931338,54.171588603980474
C(tense)[T.past perfect],0.26020658589680234,0.25607865732558466,1.0161197680991014,0.30958841267300863,-0.2417380393285421,0.7621512111221468
C(tense)[T.present continuous],-0.11476765733964227,0.25607865732558244,-0.44817345786738044,0.6540343581671494,-0.6167122825649823,0.38717696788569783
C(tense)[T.present perfect],-0.15003782495267884,0.25607865732558494,-0.5859052313052271,0.5579478378804613,-0.6519824501780238,0.3519068002726662
C(tense)[T.simple future],0.3770011883886075,0.2560786573255839,1.4722085484433018,0.14098512377060954,-0.12494343683673548,0.8789458136139505
C(tense)[T.simple past],0.03218164763871911,0.2560786573255853,0.12567094803922882,0.8999940496124841,-0.46976297758662666,0.5341262728640649
C(semantic_role)[T.patient],0.04033915201822852,0.037850270225725555,1.065755984769994,0.28655076807020397,-0.03385187936856279,0.11453018340501983
C(syntactic_role)[T.subject],-0.43127848340307856,0.15494426098912345,-2.7834427725809916,0.00538512842586288,-0.7349876633294654,-0.12756930347669176
C(valence)[T.-val],0.23209444827488213,0.14240569196578037,1.629811597212376,0.10316189250816572,-0.047037645083598534,0.5112265416333628
C(dominance)[T.-dom],-0.31934158317192324,0.1490534143126718,-2.1424640599110005,0.032171879478216044,-0.6115040029811166,-0.027179163362729852
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020476327,0.06555859111116796,0.11426299579522602,0.9090308136338872,-0.12101171480738307,0.13599355684833572
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351561037,0.0655585911111679,-1.060690175566703,0.2888474573409967,-0.1980399893434696,0.05896528231224889
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.043705368041993285,0.06555859111116817,0.6666611850746118,0.5049986226584658,-0.08479726778586652,0.1722080038698531
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479009273,0.06555859111116785,-1.4155472717943156,0.15692843847023571,-0.2213039206179519,0.03570135103776645
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03219795227051722,0.0655585911111681,0.49113246219582357,0.623339802476557,-0.09630468355734245,0.1607005880983769
C(tense)[T.past perfect]:C(valence)[T.-val],0.05438194274902511,0.06555859111116788,0.8295166480440298,0.40682505259584106,-0.07412069307883412,0.18288457857688434
C(tense)[T.present continuous]:C(valence)[T.-val],-0.0663269042968796,0.06555859111116814,-1.0117194889745056,0.31168818200493786,-0.19482954012473935,0.06217573153098016
C(tense)[T.present perfect]:C(valence)[T.-val],-0.024754714965828338,0.06555859111116807,-0.3775968114362255,0.7057353676527574,-0.15325735079368796,0.10374792086203127
C(tense)[T.simple future]:C(valence)[T.-val],0.03556785583496886,0.06555859111116812,0.5425353905891026,0.5874576305531692,-0.09293477999289085,0.16407049166282855
C(tense)[T.simple past]:C(valence)[T.-val],0.04035453796386247,0.06555859111116812,0.6155491946956735,0.5382012407852406,-0.08814809786399723,0.16885717379172216
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.11002095540365235,0.037850270225725506,-2.906741609703884,0.003657384881324174,-0.18421198679044357,-0.03582992401686114
C(semantic_role)[T.patient]:C(valence)[T.-val],0.03756713867188901,0.03785027022572552,0.9925196953113409,0.3209597614972266,-0.03662389271490223,0.11175817005868025
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.038642374674479764,0.03785027022572551,-1.0209273129103287,0.30730500831532886,-0.11283340606127099,0.035548656712311465
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.032504272460935804,0.03785027022572551,-0.8587593237007798,0.39048675708481684,-0.10669530384772703,0.041686758925855424
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0803838094075597,0.037850270225725464,2.12373145365091,0.03370859330267542,0.006192778020768563,0.15457484079435083
C(valence)[T.-val]:C(dominance)[T.-dom],-0.049890645345039224,0.037850270225725506,-1.3181053938983585,0.18748808816363868,-0.12408167673183043,0.02430038604175199
log_frequency,-2.9648325603698495,0.09366665680249725,-31.65301999217724,4.724841402322803e-213,-3.148430348002201,-2.781234772737498
C(tense)[T.past perfect]:log_frequency,0.038885298188295794,0.022511411426190925,1.727359402398672,0.08412330369645867,-0.005239745615126308,0.08301034199171789
C(tense)[T.present continuous]:log_frequency,0.0033746899251718646,0.02251141142619095,0.14991018827213892,0.8808374480629755,-0.04075035387825029,0.047499733728594014
C(tense)[T.present perfect]:log_frequency,0.02108763066991887,0.022511411426190894,0.9367529325764298,0.3489004363701976,-0.02303741313350317,0.0652126744733409
C(tense)[T.simple future]:log_frequency,0.06463244818708964,0.022511411426191157,2.8710971055281007,0.004096107758085621,0.020507404383667084,0.10875749199051221
C(tense)[T.simple past]:log_frequency,0.025899159336836675,0.022511411426191293,1.1504902489900677,0.24995997595391045,-0.01822588446658615,0.0700242031402595
C(syntactic_role)[T.subject]:log_frequency,-0.014924657189554054,0.01299696944674983,-1.1483182483964585,0.2508551486258396,-0.040400263107463995,0.010550948728355887
C(dominance)[T.-dom]:log_frequency,-0.012768771536171834,0.012996969446749827,-0.9824422215107185,0.3258975580582367,-0.03824437745408177,0.0127068343817381
lex_emb_norm,-14.67683040402266,0.5815873682467202,-25.235813577361732,1.0407274689213117e-137,-15.816810817225289,-13.53684999082003
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314299,0.3942705212556505,-1.288265653779589,0.19767297229143416,-1.2807422852911143,0.26489194362825474
C(tense)[T.present continuous]:lex_emb_norm,0.1711275242034501,0.3942705212556506,0.43403580784698986,0.6642685543514963,-0.6016895902562347,0.9439446386631349
C(tense)[T.present perfect]:lex_emb_norm,0.07439794899238449,0.39427052125565004,0.1886977214412231,0.8503322384692004,-0.6984191654672992,0.8472150634520682
C(tense)[T.simple future]:lex_emb_norm,-0.598239497847204,0.3942705212556517,-1.5173325561900057,0.12920338822399294,-1.3710566123068908,0.17457761661248294
C(tense)[T.simple past]:lex_emb_norm,-0.1867585452375674,0.3942705212556558,-0.47368122943299645,0.6357339944886676,-0.9595756596972624,0.5860585692221276
C(syntactic_role)[T.subject]:lex_emb_norm,0.4623231173504728,0.22763219158048495,2.031009384659055,0.04227128374506449,0.016136948282822028,0.9085092864181237
C(valence)[T.-val]:lex_emb_norm,-0.16493271118481762,0.147485780742792,-1.1182956780928746,0.2634582774434546,-0.4540223827496169,0.1241569603799817
C(dominance)[T.-dom]:lex_emb_norm,0.4687557625135377,0.22763219158048478,2.0592683278182027,0.03948541236104092,0.022569593445887215,0.9149419315811882
log_frequency:lex_emb_norm,3.3912483283458394,0.09600042120549969,35.3253484282792,7.476277830266891e-263,3.203076084915948,3.579420571775731
profession_embedding_1,-40.58928502580196,0.5994259732700593,-67.71359072810026,0.0,-41.76423122649542,-39.41433882510851
profession_embedding_2,3.3729015413880905,0.09854064948613842,34.228529637026114,1.734137838870158e-247,3.1797501484045876,3.5660529343715934
profession_embedding_3,-9.231898618094586,0.17870118769523544,-51.66109267185765,0.0,-9.58217419990914,-8.881623036280033
profession_embedding_4,-5.14284604341866,0.1685931443540905,-30.504479070734416,1.8685147727339124e-198,-5.473308658078432,-4.8123834287588885
profession_embedding_5,-0.24394157312807,0.1605394814142665,-1.519511406035923,0.12865446760124286,-0.5586180505586015,0.07073490430246152
