term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.97082954444822,0.6948876920776572,76.2293391412212,0.0,51.608767056249064,54.33289203264738
C(tense)[T.past perfect],0.28739755727136673,0.2539653392771171,1.1316408691414763,0.2578031681966273,-0.21040470038248565,0.7851998149252191
C(tense)[T.present continuous],-0.1479311094880159,0.25396533927711445,-0.5824854285592129,0.5602483282836167,-0.645733367141863,0.3498711481658312
C(tense)[T.present perfect],-0.16241518243557115,0.2539653392771184,-0.6395171203199079,0.5224961446581725,-0.6602174400894261,0.3353870752182837
C(tense)[T.simple future],0.3947851163061393,0.25396533927711556,1.5544842356435402,0.12008961591962881,-0.10301714134771,0.8925873739599887
C(tense)[T.simple past],0.05235891662068659,0.2539653392771028,0.20616560027334094,0.8366642978926294,-0.4454433410331377,0.550161174274511
C(semantic_role)[T.patient],-0.14409169951226636,0.1359691214733558,-1.0597384020055043,0.28928033866940306,-0.41060734228976903,0.12242394326523631
C(syntactic_role)[T.subject],-0.4312784834030672,0.1549401736838136,-2.7835161995053466,0.005383908126065864,-0.7349796438867096,-0.12757732291942486
C(valence)[T.-val],0.09258397420248055,0.037849271765960084,2.446123000066447,0.01445134253436078,0.01839490183032476,0.16677304657463632
C(dominance)[T.-dom],-0.3193415831718904,0.14904948240317165,-2.142520577884912,0.03216733034221892,-0.6114962884306103,-0.02718687791317037
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020479435,0.06555686172812525,0.11426601004095464,0.9090284238139581,-0.12100832169449924,0.1359901637354581
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351560146,0.06555686172812512,-1.0607181564606323,0.28883473218498307,-0.1980365962305799,0.05896188919937696
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.043705368041985486,0.06555686172812547,0.6666787715256789,0.5049873838006902,-0.08479387467299362,0.1722046107569646
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479009958,0.06555686172812512,-1.4155846137809567,0.15691749214181058,-0.221300527505078,0.03569795792487884
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03219795227050672,0.06555686172812536,0.4911454182178016,0.6233306375108296,-0.09630129044447217,0.16069719498548563
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.11002095540365965,0.03784927176596018,-2.9068182892387173,0.0036564873085594826,-0.18421002777581563,-0.03583188303150367
C(semantic_role)[T.patient]:C(valence)[T.-val],0.03756713867187425,0.03784927176596013,0.9925458778749974,0.32094699135177934,-0.036621933700281634,0.11175621104403013
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.03864237467448481,0.03784927176596,-1.020954244864444,0.307292242868496,-0.11283144704664043,0.03554669769767081
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03250427246093817,0.037849271765960056,-0.8587819776805075,0.39047425218972326,-0.1066933448330939,0.04168479991121756
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08038380940755199,0.037849271765960146,2.1237874774606738,0.03370390022056069,0.006194737035396081,0.1545728817797079
C(valence)[T.-val]:C(dominance)[T.-dom],-0.049890645345045906,0.03784927176596009,-1.3181401653786977,0.187476443924646,-0.1240797177172017,0.024298427027109895
log_frequency,-2.9648325603698407,0.0936641859512294,-31.65385499547947,4.5863075891641034e-213,-3.1484255001014922,-2.781239620638189
C(tense)[T.past perfect]:log_frequency,0.0388852981883092,0.022510817593215868,1.727404969956673,0.08411511858934208,-0.005238580493062493,0.0830091768696809
C(tense)[T.present continuous]:log_frequency,0.0033746899251771724,0.02251081759321616,0.1499141428872031,0.8808343274026527,-0.0407491887561951,0.04749856860654944
C(tense)[T.present perfect]:log_frequency,0.02108763066993109,0.022510817593215913,0.9367776440197476,0.3488877178733153,-0.023036248011440694,0.06521150935130288
C(tense)[T.simple future]:log_frequency,0.06463244818708956,0.022510817593215993,2.8711728447645375,0.004095125119293981,0.020508569505717618,0.10875632686846151
C(tense)[T.simple past]:log_frequency,0.025899159336822124,0.022510817593216253,1.1505205987998839,0.24994747748668847,-0.018224719344550326,0.07002303801819457
C(syntactic_role)[T.subject]:log_frequency,-0.014924657189566697,0.012996626597121905,-1.1483485409107432,0.2508426425836354,-0.04039959042394735,0.010550276044813955
C(dominance)[T.-dom]:log_frequency,-0.012768771536185415,0.012996626597121873,-0.982468138233123,0.3258847912031663,-0.038243704770566,0.012706161698195174
lex_emb_norm,-14.863436374705845,0.5815720264384903,-25.557344058875348,4.056475910326581e-141,-16.003386686718724,-13.723486062692967
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314632,0.39426012071558525,-1.2882996380906466,0.19766114058076337,-1.2807218790505461,0.2648715373876198
C(tense)[T.present continuous]:lex_emb_norm,0.17112752420340605,0.3942601207155843,0.43404725766534197,0.6642602381575212,-0.6016691840156752,0.9439242324224872
C(tense)[T.present perfect]:lex_emb_norm,0.0743979489923372,0.39426012071558597,0.18870269926693117,0.8503283360770936,-0.6983987592267472,0.8471946572114216
C(tense)[T.simple future]:lex_emb_norm,-0.598239497847253,0.39426012071558386,-1.5173725832616438,0.12919328103098882,-1.3710362060663335,0.17455721037182725
C(tense)[T.simple past]:lex_emb_norm,-0.18675854523760355,0.39426012071556915,-0.4736937250935827,0.6357250804740755,-0.9595552534566549,0.586038162981448
C(semantic_role)[T.patient]:lex_emb_norm,0.20827923018166944,0.1474818901862076,1.4122359695736226,0.15790081001092923,-0.08080280796859207,0.49736126833193095
C(syntactic_role)[T.subject]:lex_emb_norm,0.4623231173504564,0.22762618682587543,2.0310629624706333,0.042265842807059445,0.016148729831316155,0.9084975048695967
C(dominance)[T.-dom]:lex_emb_norm,0.4687557625135226,0.22762618682587554,2.059322651097701,0.03948020533091411,0.02258137499438212,0.914930150032663
log_frequency:lex_emb_norm,3.3912483283458332,0.09599788879139891,35.326280307215235,7.197864683786661e-263,3.2030810536051746,3.579415603086492
profession_embedding_1,-40.589285025801885,0.5994101608937383,-67.7153770054249,0.0,-41.76420020203376,-39.41436984957001
profession_embedding_2,3.3729015413880847,0.09853805006285364,34.229432581998935,1.673862777600942e-247,3.1797552485682887,3.5660478342078807
profession_embedding_3,-9.231898618094563,0.1786964737012563,-51.66245548599015,0.0,-9.582164950880246,-8.88163228530888
profession_embedding_4,-5.1428460434186505,0.16858869700218668,-30.505283775649236,1.8179377555491427e-198,-5.473299932211071,-4.81239215462623
profession_embedding_5,-0.24394157312806763,0.16053524651152998,-1.5195514905852605,0.1286443793106205,-0.5586097415242968,0.0707265952681615
