term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.87620658606128,0.6970764036916836,75.85424826608876,0.0,51.50985398404107,54.242559188081486
C(tense)[T.past perfect],0.287397557271289,0.2539610254754158,1.1316600912808565,0.25779508042947813,-0.210396237113884,0.785191351656462
C(tense)[T.present continuous],-0.14793110948804689,0.25396102547541577,-0.5824953227020541,0.560241664212533,-0.6457249038732198,0.349862684897126
C(tense)[T.present perfect],-0.1624151824355878,0.2539610254754209,-0.6395279832074345,0.5224890785882275,-0.6602089768207707,0.33537861194959506
C(tense)[T.simple future],0.3947851163061003,0.25396102547541605,1.5545106402333233,0.1200833183853126,-0.10300867807907316,0.8925789106912738
C(tense)[T.simple past],0.05235891662064955,0.25396102547540356,0.20616910221809046,0.8366615620127188,-0.4454348777644994,0.5501527110057985
C(semantic_role)[T.patient],-0.14462931751357597,0.1333068437591492,-1.0849354274329945,0.2779673291003127,-0.4059265754221604,0.11666794039500841
C(syntactic_role)[T.subject],-0.4475306196335561,0.1537774762898862,-2.9102481743809823,0.0036166177770564937,-0.7489527503326174,-0.1461084889344948
C(valence)[T.-val],0.24116300092787388,0.13330684375914964,1.8090819205320914,0.07045787245670312,-0.02013425698071139,0.5024602588364592
C(dominance)[T.-dom],-0.2786746931233845,0.1346433966809713,-2.0697241750643434,0.03849490465173758,-0.5425917536142939,-0.014757632632475037
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.0074909210205005294,0.06555574819309576,0.11426795097259622,0.9090268849843302,-0.1210061370446516,0.13598797908565266
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351559623,0.06555574819309569,-1.0607361739015264,0.288826538651215,-0.19803441158074822,0.058959704549555764
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.04370536804199312,0.06555574819309587,0.6666900957831801,0.504980147096505,-0.08479169002315923,0.17220242610714548
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479013185,0.06555574819309576,-1.415608659011622,0.15691044418796535,-0.221298342855284,0.035695773275020284
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03219795227050497,0.06555574819309594,0.4911537608519877,0.6233247361438343,-0.09629910579464752,0.16069501033565747
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.11002095540364416,0.03784862886621126,-2.9068676646794875,0.0036559095255703916,-0.1842087664676349,-0.035833144339653414
