term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.74304675153055,0.6940573328614466,75.99234854861702,0.0,51.382611894185054,54.103481608876045
C(tense)[T.past perfect],0.2873975572713272,0.2539869288163768,1.1315446767699808,0.2578436220501173,-0.21044700817310497,0.7852421227157593
C(tense)[T.present continuous],-0.14793110948802674,0.25398692881637447,-0.5824359158064265,0.5602816668886358,-0.6457756749324544,0.34991345595640083
C(tense)[T.present perfect],-0.1624151824355539,0.2539869288163763,-0.6394627597271921,0.522531493897281,-0.6602597478799851,0.33542938300887726
C(tense)[T.simple future],0.3947851163061384,0.25398692881637613,1.5543521005033867,0.12012110858646023,-0.10305944913829246,0.8926296817505692
C(tense)[T.simple past],0.052358916620705374,0.2539869288163793,0.20614807566950985,0.8366779855459224,-0.4454856488237317,0.5502034820651425
C(semantic_role)[T.patient],-0.14462931751356523,0.13332044069836455,-1.0848247782257698,0.27801633968389866,-0.4059532256912282,0.11669459066409776
C(syntactic_role)[T.subject],-0.1812109505720499,0.08034982557877786,-2.255274971249118,0.024130126665775988,-0.33870615784597363,-0.023715743298126146
C(valence)[T.-val],0.24116300092788054,0.13332044069836477,1.808897417864885,0.07048653690891821,-0.020160907249782895,0.5024869091055439
C(dominance)[T.-dom],-0.27867469312337684,0.13465712994498702,-2.069513090299986,0.03851468909350646,-0.5426186710826628,-0.014730715164090857
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020480323,0.06556243470294237,0.11425629713754573,0.9090361226453972,-0.12101924273587089,0.13600108477683154
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.069537353515616,0.06556243470294233,-1.0606279927016695,0.2888757162606173,-0.19804751727196712,0.05897281024073513
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.04370536804198693,0.0655624347029424,0.6666221021231455,0.5050235864263676,-0.08480479571436433,0.1722155317983382
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479009576,0.06556243470294233,-1.4154642854642339,0.15695274022292444,-0.2213114485464469,0.03570887896625537
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03219795227051247,0.06556243470294253,0.49110366959980184,0.6233601610493948,-0.09631221148583904,0.160708116026864
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.11002095540364581,0.0378524893244711,-2.9065712022410857,0.0036593734220629957,-0.1842163330419782,-0.035825577765313435
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08038380940755407,0.0378524893244711,2.1236069500873507,0.0337190038982382,0.0061884317692216945,0.15457918704588647
C(valence)[T.-val]:C(dominance)[T.-dom],-0.04989064534503505,0.03785248932447112,-1.318028120089355,0.1875139415605295,-0.12408602298336747,0.024304732293297368
log_frequency,-2.981270424048877,0.09331522294445473,-31.94838237511857,6.920737107770101e-217,-3.164179351026449,-2.7983614970713053
C(tense)[T.past perfect]:log_frequency,0.038885298188295586,0.02251273123301292,1.7272581361107244,0.08414146955662714,-0.0052423305440061005,0.08301292692059728
C(tense)[T.present continuous]:log_frequency,0.003374689925169013,0.022512731233013117,0.14990139980085138,0.8808443806232996,-0.040752938807133064,0.047502318657471086
C(tense)[T.present perfect]:log_frequency,0.021087630669920386,0.022512731233012874,0.9366980155209819,0.34892868276055916,-0.02303999806238121,0.06521525940222198
C(tense)[T.simple future]:log_frequency,0.06463244818708698,0.022512731233013023,2.870928787721187,0.004098284904423476,0.020504819454785092,0.10876007691938887
C(tense)[T.simple past]:log_frequency,0.025899159336825284,0.02251273123301322,1.1504228016033045,0.2499877296826383,-0.018228469395476992,0.07002678806912756
C(syntactic_role)[T.subject]:log_frequency,0.005182298632348814,0.00842139486355515,0.6153729538055493,0.5383175894830645,-0.01132463613717093,0.021689233401868558
lex_emb_norm,-14.46463525380235,0.568550426248446,-25.44125302877105,6.9592625770553425e-140,-15.579061658373503,-13.350208849231196
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314605,0.3942936366842573,-1.2881901293228253,0.19769924258695187,-1.2807875583856418,0.26493721672272097
C(tense)[T.present continuous]:lex_emb_norm,0.17112752420340793,0.3942936366842575,0.43401036253710445,0.6642870278227425,-0.6017348633507739,0.9439899117575897
