term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,49.644587070831676,0.640083969856812,77.55949126789922,0.0,48.38994628983257,50.89922785183078
C(tense)[T.past perfect],-0.0955497637194318,0.2353939081253596,-0.4059143436649454,0.6848112149648258,-0.5569498465849646,0.365850319146101
C(tense)[T.present continuous],-0.3194442489787597,0.23539390812536104,-1.3570625150105284,0.17478136682778272,-0.7808443318442954,0.1419558338867759
C(tense)[T.present perfect],-0.34103453800628275,0.23539390812535707,-1.4487823441236536,0.1474188695228347,-0.8024346208718106,0.12036554485924511
C(tense)[T.simple future],0.21847149932582083,0.23539390812535915,0.9281102517295126,0.35336502331574626,-0.24292858353971108,0.6798715821913528
C(tense)[T.simple past],-0.2403469451722731,0.23539390812535843,-1.0210414835556276,0.30725092902963985,-0.7017470280378036,0.22105313769325743
C(semantic_role)[T.patient],-0.21319414068155146,0.14028319198160577,-1.5197411583670404,0.12859670642314328,-0.48816589725939796,0.061777615896295046
C(syntactic_role)[T.subject],-0.3734947980173272,0.12802159204042918,-2.91743597360809,0.0035343538670769936,-0.6244323590037144,-0.12255723703093996
C(valence)[T.-val],0.19848986558041867,0.14028319198160535,1.4149226487977666,0.15711152805273912,-0.07648189099742705,0.4734616221582644
C(dominance)[T.-dom],-0.04136709572618766,0.13920148992122375,-0.2971742310344374,0.7663375286694204,-0.3142185874922945,0.2314843960399192
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.06482048034667348,0.0602314691429096,1.0761895943941806,0.28185944172687794,-0.05324036954945556,0.1828813302428025
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04911575317385437,0.06023146914290955,-0.8154500275814089,0.4148274518274823,-0.16717660306998333,0.06894509672227457
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.0058414459228500176,0.06023146914290956,-0.09698328807139302,0.9227409363647839,-0.12390229581897899,0.11221940397327895
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.025940322875982948,0.060231469142909645,-0.43067723974049205,0.6667091370741637,-0.14400117277211208,0.0921205270201462
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.002713394165038877,0.06023146914290945,-0.04504944348278947,0.9640684866458271,-0.12077424406116763,0.11534745573108987
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.019978713989232677,0.06023146914290948,0.3316989320288661,0.7401211504683937,-0.09808213590689613,0.13803956388536148
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.12136154174806023,0.06023146914290942,2.0149191689166552,0.043930577640440484,0.0033006918519315337,0.23942239164418894
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.16780738830566097,0.060231469142909395,2.7860417601222616,0.005342167316604528,0.04974653840953232,0.28586823820178964
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.1657390594481882,0.06023146914290953,2.751702088736102,0.0059356214204492296,0.0476782095520593,0.2837999093443171
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.1137645721435599,0.06023146914290955,1.8887895939186512,0.058938924208886294,-0.00429627775256905,0.23182542203968884
C(tense)[T.past perfect]:C(valence)[T.-val],0.0034114837646494617,0.06023146914290959,0.05663955758002724,0.9548330623191409,-0.11464936613147957,0.12147233366077849
C(tense)[T.present continuous]:C(valence)[T.-val],-0.02051925659180648,0.060231469142909486,-0.3406733537101847,0.7333541780563317,-0.13858010648793528,0.09754159330432234
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0195095062255951,0.060231469142909576,-0.3239088553411411,0.7460114669926731,-0.1375703561217241,0.09855134367053389
C(tense)[T.simple future]:C(valence)[T.-val],0.08542137145996087,0.06023146914290942,1.4182182947801607,0.15614740926903228,-0.032639478436167824,0.20348222135608957
C(tense)[T.simple past]:C(valence)[T.-val],0.075734329223631,0.06023146914290959,1.2573880448431067,0.20863234845753065,-0.04232652067249802,0.19379517911976002
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.021829605102546897,0.060231469142909555,0.36242856787624406,0.7170368003607241,-0.09623124479358205,0.13989045499867586
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.020291900634765575,0.06023146914290941,-0.3368986498838271,0.7361979240413855,-0.13835275053089424,0.0977689492613631
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.026443099975583036,0.060231469142909534,0.4390246552486081,0.6606498711654404,-0.09161774992054589,0.14450394987171195
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.048823165893554225,0.06023146914290954,-0.8105923130932245,0.41761244064491726,-0.16688401578968315,0.06923768400257471
C(tense)[T.simple past]:C(dominance)[T.-dom],0.07315101623535437,0.06023146914290952,1.2144982892877976,0.22457624662781606,-0.044909833660774515,0.19121186613148328
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.0677551269531257,0.03477465492334548,-1.948405443633583,0.05138472602521357,-0.13591759042141177,0.00040733651516036695
C(semantic_role)[T.patient]:C(valence)[T.-val],0.07655792236328275,0.03477465492334551,2.2015436970414504,0.027712429703538866,0.008395458894996613,0.14472038583156888
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.02009862263998033,0.03477465492334536,0.5779675652938677,0.5632945233613014,-0.04806384082830552,0.08826108610826618
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.06333618164063096,0.03477465492334544,-1.821331707826989,0.06857596829836368,-0.13149864510891696,0.0048262818276550296
C(valence)[T.-val]:C(dominance)[T.-dom],-0.16545333862303807,0.03477465492334558,-4.75787147242007,1.974319783951588e-06,-0.23361580209132435,-0.0972908751547518
log_frequency,-2.3220058127989067,0.08467199339486839,-27.423540177803748,1.13404390269375e-161,-2.4879729998000952,-2.156038625797718
C(tense)[T.past perfect]:log_frequency,0.008243135890058512,0.020770875538006016,0.3968602996525319,0.6914760167948489,-0.03247025287496352,0.04895652465508055
C(tense)[T.present continuous]:log_frequency,-0.022804155625973984,0.02077087553800606,-1.0978909186686654,0.2722694013457561,-0.0635175443909961,0.017909233139048134
C(tense)[T.present perfect]:log_frequency,-0.01195732217579852,0.020770875538006082,-0.5756773302078326,0.5648417676945511,-0.05267071094082068,0.02875606658922364
C(tense)[T.simple future]:log_frequency,0.03812727997105059,0.02077087553800605,1.8356125576548856,0.06643437543211055,-0.0025861087939715102,0.07884066873607268
C(tense)[T.simple past]:log_frequency,0.00029492413299753633,0.020770875538006082,0.01419892639854737,0.9886714616441945,-0.04041846463202462,0.0410083128980197
C(semantic_role)[T.patient]:log_frequency,-0.013343322031392928,0.011992070583172029,-1.1126787437456425,0.2658639094905866,-0.036849207994500366,0.01016256393171451
C(valence)[T.-val]:log_frequency,-0.010239342567296772,0.01199207058317201,-0.8538427535329245,0.3932054897770509,-0.033745228530404174,0.013266543395810628
C(dominance)[T.-dom]:log_frequency,-0.017225425372637458,0.011992070583172016,-1.4364012664175938,0.15090863915120134,-0.04073131133574487,0.006280460590469956
lex_emb_norm,-9.339229469627298,0.5308677104231625,-17.59238560993446,1.3332681640483749e-68,-10.379793380267833,-8.298665558986764
C(tense)[T.past perfect]:lex_emb_norm,-0.024661408489896453,0.35596261303187643,-0.06928089520369946,0.9447669380024727,-0.7223905063154541,0.6730676893356613
C(tense)[T.present continuous]:lex_emb_norm,0.26016286291110857,0.3559626130318763,0.7308713145327178,0.46486895071447343,-0.4375662349144489,0.957891960736666
C(tense)[T.present perfect]:lex_emb_norm,0.24880626250245175,0.35596261303187676,0.6989674010516687,0.4845830283163166,-0.4489228353231066,0.9465353603280101
C(tense)[T.simple future]:lex_emb_norm,-0.5089225979965387,0.3559626130318766,-1.4297080068657786,0.15282125959142887,-1.2066516958220967,0.18880649982901931
C(tense)[T.simple past]:lex_emb_norm,0.05156852977358923,0.3559626130318763,0.14487063496460872,0.8848149199327847,-0.6461605680519682,0.7492976275991468
C(semantic_role)[T.patient]:lex_emb_norm,0.3095368466599068,0.2055151104553963,1.5061512799424386,0.13204898746500782,-0.09329723579111343,0.712370929110927
C(syntactic_role)[T.subject]:lex_emb_norm,-0.08772328010982156,0.13258732153921135,-0.6616264593887153,0.50822060968509,-0.3476102144502457,0.1721636542306026
C(valence)[T.-val]:lex_emb_norm,0.055440705382260355,0.20551511045539664,0.2697646185694592,0.7873449823567565,-0.3473933770687605,0.45827478783328124
C(dominance)[T.-dom]:lex_emb_norm,0.30664280982457887,0.20551511045539628,1.4920694110768595,0.13570156777792977,-0.09619127262644128,0.709476892275599
log_frequency:lex_emb_norm,2.63401239084697,0.08575387679045325,30.715956985634588,4.2038275814169235e-201,2.465924583595457,2.802100198098483
profession_embedding_1,-41.84125450835244,0.5539464286923637,-75.5330341367525,0.0,-42.92705545425291,-40.755453562451976
profession_embedding_2,3.8853544159959403,0.09072325250618966,42.82644535623168,0.0,3.7075260407522865,4.063182791239594
profession_embedding_3,-8.742278577330902,0.16577722489475955,-52.73510027014126,0.0,-9.0672216734068,-8.417335481255003
profession_embedding_4,-4.951178259515788,0.1568759854805532,-31.561097413023425,7.323910449991501e-212,-5.258673866673947,-4.643682652357629
profession_embedding_5,-1.5013679561628637,0.147698505557358,-10.165085628302547,3.388483319093637e-24,-1.790874610120059,-1.2118613022056683
