term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,49.72276268035106,0.6377380690125516,77.9673742189169,0.0,48.47272017012783,50.97280519057429
C(tense)[T.past perfect],-0.13312088755016394,0.21551463130617127,-0.6176883988959687,0.5367899514786764,-0.5555552125465271,0.28931343744619914
C(tense)[T.present continuous],-0.21550592182925268,0.21551463130617315,-0.9999595875376642,0.31734587557288907,-0.6379402468256195,0.2069284031671141
C(tense)[T.present perfect],-0.28653464401653417,0.21551463130617188,-1.3295368499109805,0.18369073373235464,-0.7089689690128984,0.13589968097983013
C(tense)[T.simple future],0.04469239678198848,0.21551463130616916,0.20737523253582066,0.8357195829003116,-0.37774192821437047,0.46712672177834746
C(tense)[T.simple past],-0.24169117038815643,0.2155146313061693,-1.1214606123182405,0.26210944423137134,-0.6641254953845157,0.1807431546082028
C(semantic_role)[T.patient],-0.21319414068154513,0.14028144722045205,-1.5197600602630719,0.12859194864370435,-0.48816247163396753,0.06177419027087727
C(syntactic_role)[T.subject],-0.5117606069053842,0.13919975861365422,-3.6764475168794233,0.0002373132672182827,-0.7846086994605364,-0.23891251435023203
C(valence)[T.-val],0.19848986558040324,0.14028144722045205,1.4149402470055557,0.15710636254076632,-0.07647846537201916,0.4734581965328256
C(dominance)[T.-dom],-0.04136709572618173,0.1391997586136543,-0.2971779271614626,0.7663347059750085,-0.314215188281334,0.2314809968289705
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.0648204803466691,0.060230720018755186,1.0762029795839185,0.2818534524732095,-0.05323889873567911,0.1828798594290173
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04911575317384909,0.060230720018755006,-0.8154601698029699,0.4148216453569262,-0.16717513225619696,0.06894362590849876
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.005841445922853473,0.06023072001875509,-0.0969844943084612,0.922739978126436,-0.12390082500520148,0.11221793315949453
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.02594032287598476,0.06023072001875511,-0.43068259632139977,0.6667052401908539,-0.1439997019583328,0.09211905620636329
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0027133941650390025,0.06023072001875499,-0.04505000378866615,0.9640680398935005,-0.12077277324738683,0.11534598491730882
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.019978713989230457,0.060230720018754944,0.33170305755948765,0.740118033839705,-0.09808066509311728,0.1380380930715782
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.12136154174806263,0.06023072001875494,2.0149442296268827,0.04392794656888667,0.003302162665714911,0.23942092083041033
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.1678073883056605,0.060230720018754846,2.7860764117282355,0.005341594844902863,0.04974800922331296,0.28586676738800804
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.16573905944818945,0.06023072001875505,2.7517363132398303,0.005934999670534441,0.047679680365841526,0.2837984385305374
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11376457214355926,0.060230720018755034,1.8888130858826608,0.05893577004353672,-0.004294806938788642,0.23182395122590715
C(tense)[T.past perfect]:C(valence)[T.-val],0.0034114837646496837,0.06023072001875522,0.056640262038829735,0.9548325009591269,-0.11464789531769859,0.12147086284699796
C(tense)[T.present continuous]:C(valence)[T.-val],-0.02051925659179481,0.06023072001875519,-0.34067759086069926,0.7333509867415166,-0.13857863567414302,0.09754012249055341
C(tense)[T.present perfect]:C(valence)[T.-val],-0.019509506225589036,0.06023072001875519,-0.32391288398202756,0.7460084157823559,-0.13756888530793726,0.09854987285675917
