term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,49.69038519026965,0.6399653543131578,77.64543010863426,0.0,48.43597690985693,50.94479347068237
C(tense)[T.past perfect],-0.09554976371940471,0.23535028669801553,-0.40598957859782536,0.6847559353327246,-0.5568643433943428,0.3657648159555334
C(tense)[T.present continuous],-0.3194442489786898,0.2353502866980165,-1.3573140422326158,0.17470146819323798,-0.7807588286536298,0.14187033069625027
C(tense)[T.present perfect],-0.34103453800623307,0.2353502866980128,-1.4490508713245287,0.1473438710114748,-0.8023491176811659,0.12028004166869971
C(tense)[T.simple future],0.21847149932586069,0.23535028669801467,0.9282822740139183,0.35327581037018063,-0.24284308034907576,0.6797860790007971
C(tense)[T.simple past],-0.24034694517225458,0.23535028669801442,-1.021230730348128,0.30716128303986023,-0.7016615248471905,0.22096763450268136
C(semantic_role)[T.patient],-0.21319414068153675,0.14025719575631967,-1.5200228375586262,0.12852589982627316,-0.48811494156304974,0.06172666019997625
C(syntactic_role)[T.subject],-0.5117606069053499,0.13917569414882158,-3.677083200735615,0.00023672361596163837,-0.784561535886639,-0.2389596779240607
C(valence)[T.-val],0.24515943559263753,0.12917298999039895,1.8979156216083526,0.05772600193222877,-0.008035002446168282,0.49835387363144334
C(dominance)[T.-dom],-0.04136709572619393,0.1391756941488219,-0.2972293113333403,0.7662954804432188,-0.31416802470748373,0.23143383325509584
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.06482048034666582,0.060220307500384776,1.0763890627136312,0.28177026389895793,-0.053218491401354456,0.1828594520946861
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04911575317384948,0.0602203075003845,-0.8156011686512209,0.41474097725269254,-0.16715472492186922,0.06892321857417025
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.005841445922857041,0.06022030750038466,-0.09700126361559559,0.9227266614979143,-0.12388041767087708,0.112197525825163
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.025940322875991424,0.06022030750038466,-0.4307570643976823,0.6666510896335086,-0.14397929462401146,0.09209864887202862
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.002713394165047323,0.06022030750038456,-0.04505779325404467,0.9640618313595295,-0.12075236591306718,0.11532557758297254
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.019978713989231567,0.060220307500384596,0.33176041137126333,0.7400747240878501,-0.09806025775878835,0.13801768573725148
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.12136154174805547,0.06022030750038457,2.015292627778104,0.0438914507101211,0.0033225700000355934,0.23940051349607533
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.16780738830566402,0.06022030750038448,2.78655814410434,0.005333667537618431,0.04976841655764433,0.2858463600536837
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.16573905944818423,0.060220307500384554,2.7522121079691573,0.005926389230332194,0.04770008770016439,0.2837780311962041
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11376457214356687,0.06022030750038457,1.8891396750646012,0.05889200838517994,-0.004274399604453,0.23180354389158675
C(tense)[T.past perfect]:C(valence)[T.-val],0.0034114837646366802,0.06022030750038461,0.056650055541727216,0.9548246997223462,-0.11462748798338326,0.12145045551265662
