term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,49.69344241804859,0.6375134371766131,77.94885491061704,0.0,48.44384021941421,50.94304461668297
C(tense)[T.past perfect],-0.08463496116804148,0.233410382085444,-0.3626015278834484,0.7169075756578918,-0.54214708503761,0.372877162701527
C(tense)[T.present continuous],-0.3295901992960157,0.2334103820854488,-1.4120631496818192,0.15795169896467987,-0.7871023231655936,0.12792192457356216
C(tense)[T.present perfect],-0.3278129880184129,0.23341038208544196,-1.4044490441663988,0.16020546822318973,-0.7853251118879774,0.1296991358511515
C(tense)[T.simple future],0.19405991637895598,0.23341038208544299,0.8314108166273331,0.40575456122948045,-0.2634522074906105,0.6515720402485224
C(tense)[T.simple past],-0.2037714370548685,0.23341038208544018,-0.8730178804997529,0.3826670282620418,-0.6612835609244294,0.2537406868146925
C(semantic_role)[T.patient],-0.2131941406815252,0.14025368224434728,-1.5200609158346547,0.12851632354356748,-0.4881080475558525,0.06171976619280212
C(syntactic_role)[T.subject],-0.5117606069053363,0.1391722077289981,-3.677175315791913,0.00023663799086048689,-0.7845546950380659,-0.23896651877260677
C(valence)[T.-val],0.23032687090400397,0.07582065853407435,3.0377851545630326,0.0023872534658212208,0.08170935779606003,0.3789443840119479
C(dominance)[T.-dom],-0.032648986595320964,0.13363361668940105,-0.24431716662436534,0.8069884642391584,-0.2945867772183562,0.2292888040277143
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.06482048034669807,0.06021879895196239,1.0764160274668801,0.2817582044846913,-0.05321553141605799,0.18285649210945415
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.049115753173835305,0.06021879895196201,-0.8156216003745961,0.414729284018739,-0.16715176493659062,0.06892025858892002
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.005841445922840778,0.06021879895196232,-0.09700369360572288,0.9227247313637217,-0.1238774576855967,0.11219456583991515
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.025940322876069934,0.060218798951962346,-0.4307678553463514,0.6666432407683379,-0.14397633463882592,0.09209568888668604
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.002713394165090482,0.06021879895196218,-0.04505892200299469,0.9640609314845963,-0.12074940592784612,0.11532261759766517
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.01997871398923401,0.060218798951962346,0.33176872234152993,0.7400684466122458,-0.09805729777352197,0.13801472575198998
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.12136154174804212,0.06021879895196201,2.0153431131174693,0.04388615796566294,0.0033255299852867903,0.23939755351079745
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.16780738830561454,0.06021879895196236,2.786627950508903,0.005332517304617677,0.04977137654285853,0.28584340006837056
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.16573905944821055,0.06021879895196214,2.752281053968284,0.005925139909286269,0.04770304768545498,0.2837750712109661
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11376457214360351,0.06021879895196211,1.8891870001319035,0.05888566236475381,-0.004271439619152009,0.23180058390635905
C(tense)[T.past perfect]:C(valence)[T.-val],0.003411483764598225,0.060218798951962374,0.056651474688487684,0.954823568999494,-0.11462452799815781,0.12144749552735426
C(tense)[T.present continuous]:C(valence)[T.-val],-0.020519256591829137,0.06021879895196189,-0.34074503226472325,0.7333002113513695,-0.1385552683545842,0.09751675517092594
C(tense)[T.present perfect]:C(valence)[T.-val],-0.019509506225572047,0.060218798951962325,-0.3239770066011305,0.7459598692857482,-0.13754551798832798,0.0985265055371839
C(tense)[T.simple future]:C(valence)[T.-val],0.08542137146000127,0.06021879895196207,1.41851669157573,0.15606033076379844,-0.03261464030275417,0.2034573832227567
C(tense)[T.simple past]:C(valence)[T.-val],0.07573432922365603,0.06021879895196207,1.2576526025381385,0.20853660927309806,-0.04230168253909941,0.19377034098641147
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.06775512695313093,0.034767339785191316,-1.9488153931751295,0.05133572122325008,-0.13590325011842774,0.00039299621216587477
C(semantic_role)[T.patient]:C(valence)[T.-val],0.07655792236327956,0.034767339785191316,2.2020069075255617,0.027679681748718467,0.00840979919798275,0.14470604552857635
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.020098622639973883,0.03476733978519131,0.5780891711632946,0.5632124228777092,-0.04804950052532291,0.08824674580527067
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.0633361816406196,0.03476733978519127,-1.821714920725597,0.06851776218351788,-0.13148430480591633,0.0048119415246771075
C(valence)[T.-val]:C(dominance)[T.-dom],-0.16545333862303896,0.03476733978519131,-4.758872540875608,1.964563154516959e-06,-0.23360146178833574,-0.09730521545774216
log_frequency,-2.308073875294176,0.08474248123449732,-27.236326358055656,1.495933392858594e-159,-2.4741792225592314,-2.1419685280291207
C(tense)[T.past perfect]:log_frequency,0.008243135890066311,0.020766506211424087,0.3969438000857164,0.6914144388887219,-0.03246168742263979,0.04894795920277241
C(tense)[T.present continuous]:log_frequency,-0.02280415562596837,0.020766506211423952,-1.0981219177554036,0.27216853086383536,-0.0635089789386742,0.017900667686737464
C(tense)[T.present perfect]:log_frequency,-0.011957322175796236,0.020766506211423983,-0.5757984542059523,0.5647598844163781,-0.052662145488502135,0.02874750113690966
C(tense)[T.simple future]:log_frequency,0.038127279971048124,0.020766506211423823,1.835998775281419,0.06637722491636473,-0.002577543341657461,0.0788321032837537
C(tense)[T.simple past]:log_frequency,0.0002949241329822858,0.020766506211423657,0.014201913888627448,0.9886690781907749,-0.04040989917972297,0.040999747445687545
C(semantic_role)[T.patient]:log_frequency,-0.013343322031392133,0.011989547951293608,-1.1129128542292088,0.26576333792148027,-0.03684426272829891,0.010157618665514644
C(syntactic_role)[T.subject]:log_frequency,-0.03033563373689832,0.011989547951293587,-2.530173269262026,0.011410563229655538,-0.05383657443380506,-0.006834693039991582
C(valence)[T.-val]:log_frequency,-0.007767583839883632,0.007735012991528742,-1.0042108330510318,0.3152928776979027,-0.022929129741546036,0.007393962061778771
C(dominance)[T.-dom]:log_frequency,-0.01722542537262621,0.011989547951293611,-1.4367034889557846,0.1508227038714341,-0.04072636606953299,0.0062755153242805735
lex_emb_norm,-9.51011841250211,0.5266013399022407,-18.059426917272155,3.72809160930584e-72,-10.542319702344646,-8.477917122659573
C(tense)[T.past perfect]:lex_emb_norm,-0.024661408490044223,0.35588773333292156,-0.06929547208353559,0.9447553351157438,-0.7222437151616785,0.6729208981815902
C(tense)[T.present continuous]:lex_emb_norm,0.26016286291093704,0.3558877333329204,0.7310250917458958,0.4647750178147106,-0.4374194437606951,0.9577451695825692
C(tense)[T.present perfect]:lex_emb_norm,0.24880626250237203,0.3558877333329208,0.6991144655992464,0.484491122851487,-0.44877604416926087,0.9463885691740049
C(tense)[T.simple future]:lex_emb_norm,-0.5089225979963888,0.35588773333291657,-1.4300088211253834,0.15273490029156575,-1.2065049046680134,0.18865970867523574
C(tense)[T.simple past]:lex_emb_norm,0.05156852977405453,0.35588773333291135,0.1449011161219634,0.8847908532054086,-0.6460137768975598,0.7491508364456689
C(semantic_role)[T.patient]:lex_emb_norm,0.30953684665990766,0.20547187864104594,1.5064681780647002,0.13196766835336332,-0.09321248587887643,0.7122861791986917
C(syntactic_role)[T.subject]:lex_emb_norm,0.3094953110219048,0.2054718786410459,1.506266030509144,0.13201953257936036,-0.09325402151687923,0.7122446435606888
C(dominance)[T.-dom]:lex_emb_norm,0.3066428098245783,0.2054718786410459,1.4923833463375074,0.13561929013350965,-0.09610652271420572,0.7093921423633623
log_frequency:lex_emb_norm,2.63401239084697,0.08573583774858902,30.72241970237608,3.470859743538764e-201,2.4659599466085016,2.8020648350854387
profession_embedding_1,-41.841254508352485,0.5538299014496122,-75.5489264823655,0.0,-42.92682701892714,-40.75568199777783
profession_embedding_2,3.885354415995943,0.09070416811477477,42.835456151028396,0.0,3.7075634530266015,4.0631453789652845
profession_embedding_3,-8.742278577330907,0.1657423522754459,-52.746195871542746,0.0,-9.067153310524732,-8.417403844137082
profession_embedding_4,-4.951178259515785,0.1568429853110509,-31.567737949495235,5.985111992374728e-212,-5.2586091744672645,-4.643747344564306
profession_embedding_5,-1.5013679561628268,0.14766743594715792,-10.167224388592242,3.315215522215811e-24,-1.790813702504248,-1.2119222098214055
