term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,18.32067238403949,0.4420258481086621,41.44706121243789,0.0,17.454249095412546,19.187095672666434
C(tense)[T.past perfect],0.027406088186181954,0.17986867243335392,0.15236721223000427,0.878899325187943,-0.32515792443318625,0.37997010080555016
C(tense)[T.present continuous],-0.0073077820120433755,0.1798686724333547,-0.040628431361503875,0.9675926480687809,-0.35987179463141306,0.34525623060732635
C(tense)[T.present perfect],-0.2651107539093318,0.17986867243335417,-1.4739128850109346,0.14052562298460267,-0.6176747665287006,0.0874532587100369
C(tense)[T.simple future],-0.09641240351917114,0.17986867243335503,-0.5360155396426461,0.5919556033516391,-0.4489764161385415,0.25615160910019924
C(tense)[T.simple past],0.05290261384849309,0.17986867243335458,0.29411799805268873,0.7686717284495487,-0.2996613987708764,0.4054666264678626
C(semantic_role)[T.patient],-0.2691571229900697,0.06647196930707498,-4.0491823214484155,5.165010067246668e-05,-0.39945009679459564,-0.13886414918554377
C(syntactic_role)[T.subject],-0.2975985278838939,0.10822804117980145,-2.749735878426252,0.005971334962657184,-0.5097383739175233,-0.0854586818502645
C(valence)[T.-val],0.12820018195629754,0.108228041179801,1.1845375797138977,0.23621873083677922,-0.08393966407733097,0.340340027989926
C(dominance)[T.-dom],-0.009622845904216878,0.10822804117980134,-0.08891268657658008,0.9291524648618036,-0.22176269193784606,0.2025170001294123
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.023439698179404334,0.05279381942910501,0.4439856489428785,0.6570592389882433,-0.08004247338287428,0.12692186974168296
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012042731240148956,0.05279381942910488,-0.22810873262012707,0.8195647598997309,-0.11552490280242733,0.09143944032212942
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.02012769443527364,0.0527938194291049,0.38125096181575696,0.7030223316075136,-0.08335447712700478,0.12360986599755205
