term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,18.364698171178546,0.4440286727006274,41.35926191316113,0.0,17.494349107900778,19.235047234456314
C(tense)[T.past perfect],0.027406088186289868,0.17987276950862957,0.15236374166671757,0.8789020622930962,-0.3251659551884047,0.3799781315609844
C(tense)[T.present continuous],-0.007307782011920841,0.17987276950863035,-0.04062750594147165,0.9675933858258974,-0.3598798253866169,0.3452642613627752
C(tense)[T.present perfect],-0.265110753909198,0.1798727695086298,-1.4738793127687888,0.14053466347270765,-0.617682797283893,0.08746128946549697
C(tense)[T.simple future],-0.09641240351906301,0.1798727695086306,-0.5360033304787525,0.5919640411213126,-0.44898444689375955,0.25615963985563356
C(tense)[T.simple past],0.05290261384862144,0.1798727695086303,0.29411129874265474,0.7686768473641746,-0.29966942952607456,0.40547465722331744
C(semantic_role)[T.patient],-0.33935431381334646,0.10823050641416128,-3.1354774643181758,0.0017189940386041803,-0.5514989919998249,-0.12720963562686805
C(syntactic_role)[T.subject],-0.3154529113392334,0.10715207101696517,-2.9439740020450786,0.0032451429629183344,-0.5254837277517717,-0.10542209492669513
C(valence)[T.-val],0.11034579850094571,0.10715207101696503,1.0298055600201608,0.30311757014326385,-0.09968501791159233,0.32037661491348374
C(dominance)[T.-dom],-0.009622845904216259,0.10823050641416138,-0.08891066135635453,0.9291540743526011,-0.22176752409069486,0.20252183228226237
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.023439698179412383,0.05279502197454719,0.4439755360024816,0.6570665504480012,-0.08004483051510454,0.1269242268739293
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012042731240130226,0.05279502197454726,-0.22810353684360782,0.8195687989942321,-0.11552725993464727,0.09144179745438683
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.020127694435267168,0.05279502197454742,0.3812422778225335,0.703028774611446,-0.0833568342592502,0.12361222312978454
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.008580176937721782,0.05279502197454725,-0.16251867348134316,0.8708995708029166,-0.11206470563223882,0.09490435175679525
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.07214696553368379,0.052795021974547045,1.3665486410530616,0.17178690728423013,-0.031337563160832846,0.1756314942282004
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.15311832563493422,0.05279502197454718,2.9002417256072657,0.0037340580741102012,0.04963379694041732,0.2566028543294511
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.023692141523234494,0.052795021974547114,0.44875711074912816,0.6536132370667675,-0.07979238717128227,0.12717667021775125
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.20262834184668177,0.05279502197454693,3.838019841044316,0.00012452934683979382,0.09914381315216537,0.3061128705411982
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.043233128800088776,0.05279502197454713,-0.8188864628360566,0.41286394929679154,-0.14671765749460558,0.06025139989442802
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07971251075703663,0.05279502197454737,-1.5098489928741057,0.13110261202331763,-0.1831970394515539,0.02377201793748064
C(tense)[T.past perfect]:C(valence)[T.-val],-0.0298826013048097,0.052795021974547364,-0.5660117220751644,0.57139411365579,-0.13336712999932696,0.07360192738970756
C(tense)[T.present continuous]:C(valence)[T.-val],-0.039921712735225254,0.0527950219745472,-0.7561643359950064,0.44956231539304287,-0.14340624142974218,0.06356281595929168
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06917078940315308,0.05279502197454713,-1.310176354060442,0.1901558534041608,-0.17265531809766987,0.03431373929136372
C(tense)[T.simple future]:C(valence)[T.-val],0.03649303316396468,0.05279502197454716,0.691221100003675,0.48943709390014634,-0.06699149553055218,0.13997756185848154
C(tense)[T.simple past]:C(valence)[T.-val],0.012157824479788361,0.05279502197454722,0.23028353858152986,0.8178745301587567,-0.0913267042147286,0.11564235317430532
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.011562582459218373,0.05279502197454719,0.21900895248784566,0.8266459954821397,-0.09192194623529855,0.1150471111537353
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.027723039751884983,0.05279502197454727,-0.525107078566051,0.5995163649188165,-0.13120756844640205,0.07576148894263207
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.05212455584651187,0.05279502197454733,-0.987300580566882,0.3235109198953945,-0.15560908454102906,0.051359972848005316
C(tense)[T.simple future]:C(dominance)[T.-dom],0.07914743987094544,0.05279502197454733,1.499145883661204,0.1338564239042316,-0.024337088823571745,0.18263196856546263
C(tense)[T.simple past]:C(dominance)[T.-dom],0.010007625186379368,0.05279502197454727,0.1895562273125692,0.8496594054219643,-0.0934769035081377,0.11349215388089642
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],0.15555739640396804,0.030481220148877036,5.1033848265978605,3.376288305098809e-07,0.09581057590522712,0.21530421690270896
C(semantic_role)[T.patient]:C(valence)[T.-val],0.02090486346048625,0.030481220148877067,0.6858276459532211,0.4928321929898736,-0.03884195703825472,0.08065168395922723
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.04866601960930345,0.03048122014887707,1.5965902733423325,0.11037772204039606,-0.011080800889437525,0.10841284010804443
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.009234789247346439,0.030481220148877074,0.30296652175476146,0.7619194942477054,-0.05051203125139454,0.06898160974608743
C(valence)[T.-val]:C(dominance)[T.-dom],-0.041462385303119666,0.030481220148877053,-1.3602600257013389,0.17376769511027468,-0.1012092058018606,0.018284435195621278
log_frequency,1.5226409058619172,0.04988406849422136,30.523591034646703,1.0888248758218383e-198,1.4248621925586396,1.620419619165195
C(tense)[T.past perfect]:log_frequency,-0.006098218732811203,0.014395991441432188,-0.42360533191623795,0.6718596211896437,-0.034316075903609106,0.0221196384379867
C(tense)[T.present continuous]:log_frequency,-0.006594214190435287,0.014395991441432198,-0.4580590518730716,0.6469165223085465,-0.03481207136123321,0.021623642980362633
C(tense)[T.present perfect]:log_frequency,-0.008035806941018514,0.014395991441432204,-0.5581975353146682,0.576717672107454,-0.03625366411181644,0.020182050229779418
