term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,18.35387072646115,0.44380520610926366,41.355690455651114,0.0,17.48395971129006,19.22378174163224
C(tense)[T.past perfect],0.034753691721585156,0.17899770772604923,0.19415718873212984,0.8460553801783288,-0.3161031154942585,0.3856104989374288
C(tense)[T.present continuous],0.0006374350459027683,0.17899770772605011,0.003561135245811868,0.9971586775864351,-0.3502193721699427,0.3514942422617482
C(tense)[T.present perfect],-0.2554285948926369,0.17899770772604964,-1.426993664542131,0.15360212073234925,-0.6062854021084814,0.09542821232320758
C(tense)[T.simple future],-0.09274579137515009,0.1789977077260503,-0.5181395480052418,0.6043683987910639,-0.44360259859099593,0.25811101584069573
C(tense)[T.simple past],0.05182409684623955,0.17899770772605006,0.2895238017547944,0.7721844900646939,-0.29903271036960577,0.4026809040620849
C(semantic_role)[T.patient],-0.3393543138133783,0.10820826775224131,-3.136121858917285,0.0017152225135967487,-0.5514553949960144,-0.12725323263074229
C(syntactic_role)[T.subject],-0.29759852788391516,0.10820826775224196,-2.75023835115177,0.005962187227743498,-0.5096996090665524,-0.08549744670127785
C(valence)[T.-val],0.1292650018801049,0.10774406153379497,1.199741313256134,0.23025839433216855,-0.0819261798755335,0.34045618363574326
C(dominance)[T.-dom],-0.016074851432130107,0.10774406153379523,-0.14919477884252613,0.881401905496895,-0.22726603318776903,0.1951163303235088
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.023439698179414492,0.05278417391808293,0.4440667806185835,0.6570005810863859,-0.08002356382374048,0.12690296018256947
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012042731240139024,0.05278417391808318,-0.22815041604758995,0.819532355000802,-0.11550599324329448,0.09142053076301644
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.020127694435273097,0.052784173918083356,0.38132062967414443,0.7029706409168384,-0.08333556756788271,0.1235909564384289
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.008580176937718956,0.05278417391808322,-0.16255207386658546,0.8708732704590205,-0.11204343894087448,0.09488308506543658
