term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,18.36101032002294,0.4437888596847294,41.37330155846347,0.0,17.491131345789103,19.23088929425678
C(tense)[T.past perfect],0.034753691721617797,0.17900610368218317,0.19414808214205548,0.8460625103963864,-0.3161195725673365,0.3856269560105721
C(tense)[T.present continuous],0.0006374350458982988,0.17900610368218386,0.0035609682172068947,0.9971588108529583,-0.35023582924305735,0.35151069933485396
C(tense)[T.present perfect],-0.25542859489260045,0.17900610368218337,-1.4269267339961853,0.15362141371168755,-0.6063018591815552,0.09544466939635426
C(tense)[T.simple future],-0.0927457913751565,0.17900610368218423,-0.5181152456109636,0.6043853532624169,-0.44361905566411286,0.2581274729137999
C(tense)[T.simple past],0.05182409684623179,0.17900610368218337,0.2895102221667422,0.7721948801023142,-0.2990491674427229,0.4026973611351865
C(semantic_role)[T.patient],-0.3393543138133148,0.1082133433025427,-3.1359747648175746,0.0017160824674002637,-0.5514653436785135,-0.12724328394811613
C(syntactic_role)[T.subject],-0.2975985278839004,0.10821334330254277,-2.7501093562175107,0.005964533726748577,-0.5097095577490992,-0.08548749801870156
C(valence)[T.-val],0.10853380922850547,0.10666615825669089,1.0175093113161544,0.30892728899700633,-0.10054455383745986,0.3176121722944708
C(dominance)[T.-dom],-0.0303540385557797,0.10713507892281401,-0.2833249283145478,0.7769316018444802,-0.24035154192719121,0.17964346481563181
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.023439698179399726,0.05278664978000545,0.4440459524725933,0.6570156389254307,-0.08002841680774189,0.12690781316654134
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012042731240161274,0.05278664978000537,-0.22813971506717676,0.8195406736587363,-0.11551084622730273,0.0914253837469802
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.020127694435195367,0.05278664978000543,0.38130274452119806,0.7029839103022225,-0.08334042055194622,0.12359580942233696
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.008580176937721673,0.05278664978000547,-0.16254444965688414,0.870879273758094,-0.11204829192486333,0.09488793804941999
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.07214696553368134,0.05278664978000535,1.3667653816706007,0.17171893298098537,-0.03132114945346008,0.17561508052082275
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.15311832563493288,0.05278664978000548,2.9007017166853997,0.0037285825253241898,0.049650210647791196,0.2565864406220746
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.02369214152323424,0.052786649780005496,0.44882828559823357,0.6535618869613288,-0.07977597346390747,0.12716025651037596
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.20262834184668366,0.05278664978000534,3.838628567851179,0.00012422117767497322,0.09916022685954225,0.3060964568338251
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.043233128800094126,0.05278664978000544,-0.8190163418264517,0.4127898424667835,-0.14670124378723573,0.06023498618704748
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07971251075704154,0.05278664978000555,-1.510088461557091,0.13104149716052652,-0.18318062574418337,0.023755604230100286
C(tense)[T.past perfect]:C(valence)[T.-val],-0.02988260130480601,0.05278664978000555,-0.5661014940206509,0.5713330876970881,-0.13335071629194784,0.07358551368233582
C(tense)[T.present continuous]:C(valence)[T.-val],-0.039921712735217094,0.05278664978000542,-0.7562842669802977,0.44949041934373263,-0.14338982772235864,0.06354640225192447
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06917078940314642,0.0527866497800054,-1.3103841537855472,0.19008557590436614,-0.17263890439028795,0.034297325583995106
C(tense)[T.simple future]:C(valence)[T.-val],0.036493033163970866,0.0527866497800054,0.6913307307067202,0.4893682097301897,-0.06697508182317066,0.13996114815111238
C(tense)[T.simple past]:C(valence)[T.-val],0.01215782447979578,0.05278664978000538,0.23032006256250312,0.8178461502131273,-0.0913102905073457,0.11562593946693726
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.011562582459217305,0.05278664978000541,0.21904368826977524,0.8266189365494121,-0.09190553252792424,0.11503069744635885
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.02772303975188603,0.05278664978000523,-0.5251903628554788,0.5994584714016172,-0.13119115473902723,0.07574507523525517
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.052124555846511454,0.0527866497800054,-0.9874571707760712,0.32343417940370384,-0.15559267083365297,0.05134355914063007
C(tense)[T.simple future]:C(dominance)[T.-dom],0.07914743987094437,0.05278664978000543,1.4993836547839392,0.13379475722704204,-0.02432067511619722,0.18261555485808595
C(tense)[T.simple past]:C(dominance)[T.-dom],0.010007625186380249,0.05278664978000531,0.18958629176294056,0.8496358440687817,-0.09346048980076109,0.11347574017352159
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],0.15555739640396357,0.030476386460104685,5.1041942458498815,3.361879626665766e-07,0.09582005236359413,0.215294740444333
C(semantic_role)[T.patient]:C(valence)[T.-val],0.020904863460483872,0.03047638646010467,0.6859364212305659,0.492763592001346,-0.038832480579885545,0.08064220750085328
