term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,22.761535403152116,0.4190274810483148,54.31991082352821,0.0,21.94019171997462,23.582879086329612
C(tense)[T.past perfect],0.046473540811319936,0.181479170308444,0.25608195547914947,0.7978909943800648,-0.3092472099810288,0.40219429160366865
C(tense)[T.present continuous],-0.0053839305741781515,0.1814791703084446,-0.029666934034509557,0.9763330696912965,-0.361104681366528,0.35033682021817175
C(tense)[T.present perfect],-0.24536474767500932,0.181479170308444,-1.352027052239575,0.17638662675160005,-0.601085498467358,0.1103560031173394
C(tense)[T.simple future],-0.09703587984400587,0.18147917030844488,-0.5346943105320691,0.5928690186245735,-0.4527566306363563,0.2586848709483446
C(tense)[T.simple past],0.08789757961305332,0.18147917030844427,0.48433977003345063,0.6281516818330094,-0.2678231711792959,0.44361833040540255
C(semantic_role)[T.patient],-0.32555658727592707,0.10477704782989,-3.1071364771078684,0.0018925467813756217,-0.5309320585022252,-0.12018111604962892
C(syntactic_role)[T.subject],-0.24006091175189226,0.066311016330742,-3.620226698902204,0.000295294352852455,-0.37003838781641507,-0.11008343568736942
C(valence)[T.-val],0.143802758947441,0.04685829159566719,3.0688860829219364,0.0021523402285654036,0.051954936197713686,0.2356505816971683
C(dominance)[T.-dom],-0.011457456808485596,0.10933478948856647,-0.1047924165956687,0.9165418998941921,-0.22576664357903276,0.20285172996206158
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.1531183256349431,0.054107294533048654,2.8299017157736217,0.004662288508251456,0.04706159525687133,0.2591750560130149
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.023692141523246127,0.05410729453304869,0.4378733353369754,0.6614842811591168,-0.08236458885482571,0.12974887190131795
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.20262834184669243,0.054107294533048717,3.7449357539569292,0.00018110087231620217,0.09657161146862053,0.3086850722247643
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.04323312880009321,0.05410729453304871,-0.7990258831678682,0.42428779507461495,-0.1492898591781651,0.06282360157797867
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07971251075703432,0.05410729453304878,-1.4732303924075498,0.14070947414405868,-0.18576924113510634,0.02634421962103768
C(tense)[T.past perfect]:C(valence)[T.-val],-0.02988260130481875,0.05410729453304866,-0.5522841524919805,0.5807617459144726,-0.13593933168289052,0.07617412907325304
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03992171273523529,0.05410729453304883,-0.7378249657419303,0.46063212471412507,-0.14597844311330738,0.06613501764283682
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06917078940316129,0.05410729453304878,-1.2784004448958675,0.20112764056539895,-0.1752275197812333,0.036885940974910714
C(tense)[T.simple future]:C(valence)[T.-val],0.03649303316395483,0.05410729453304886,0.6744568080679917,0.500031117090497,-0.06956369721411734,0.142549763542027
C(tense)[T.simple past]:C(valence)[T.-val],0.012157824479776412,0.05410729453304879,0.22469843640676582,0.8222168787703967,-0.09389890589829562,0.11821455485784844
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.011562582459217194,0.054107294533048904,0.21369729458852785,0.8307859659100854,-0.09449414791885506,0.11761931283728945
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.027723039751888973,0.054107294533048925,-0.5123715756099326,0.6083983692352233,-0.13377977012996128,0.07833369062618332
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.05212455584651497,0.05410729453304883,-0.9633554273292524,0.3353843967766325,-0.15818128622458708,0.05393217453155713
C(tense)[T.simple future]:C(dominance)[T.-dom],0.07914743987093899,0.05410729453304898,1.462786867352892,0.1435462283990079,-0.02690929050713342,0.1852041702490114
C(tense)[T.simple past]:C(dominance)[T.-dom],0.010007625186377357,0.05410729453304879,0.18495889089898385,0.8532637286390652,-0.09604910519169468,0.11606435556444938
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],0.15555739640396243,0.03123886106377811,4.9796116473763945,6.440527743715076e-07,0.09432551457081093,0.21678927823711394
C(semantic_role)[T.patient]:C(valence)[T.-val],0.02090486346048533,0.031238861063778142,0.669194162290532,0.5033817171063684,-0.04032701837266624,0.08213674529363689
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.048666019609308137,0.031238861063778132,1.5578679232239048,0.119285223375379,-0.012565862223843406,0.10989790144245967
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03570876691072254,0.031238861063778094,-1.1430879902381386,0.25301992833763526,-0.09694064874387401,0.025523114922428924
C(valence)[T.-val]:C(dominance)[T.-dom],-0.041462385303129776,0.031238861063778118,-1.3272694295249443,0.18443935807656475,-0.1026942671362813,0.01976949653002174
log_frequency,0.1804444965915571,0.00735300091850571,24.540252148945378,1.7950962982013901e-130,0.1660317405553566,0.19485725262775758
C(syntactic_role)[T.subject]:log_frequency,0.019129800657257067,0.006949999558833225,2.752489477922874,0.0059213669837274744,0.005506975200909828,0.032752626113604306
lex_emb_norm,1.1253792306084953,0.04619666451291893,24.36061656126239,1.2387381213092293e-128,1.0348282756051863,1.2159301856118043
C(tense)[T.past perfect]:lex_emb_norm,-0.02060355409133774,0.05401871834726136,-0.3814150857650309,0.7029005599251914,-0.12648666461399014,0.08527955643131466
C(tense)[T.present continuous]:lex_emb_norm,0.06425723036742272,0.05401871834726128,1.1895363743053433,0.23424710733309456,-0.04162588015522953,0.17014034089007496
C(tense)[T.present perfect]:lex_emb_norm,0.036327831787655675,0.054018718347261234,0.6725045113829049,0.5012727149596208,-0.06955527873499648,0.14221094231030784
C(tense)[T.simple future]:lex_emb_norm,0.11013276425133173,0.05401871834726121,2.038788916525924,0.04148823508954921,0.004249653728679609,0.21601587477398385
C(tense)[T.simple past]:lex_emb_norm,-0.010657833221698722,0.054018718347261345,-0.19729889097302242,0.843596265445259,-0.11654094374435109,0.09522527730095365
C(semantic_role)[T.patient]:lex_emb_norm,0.03506999260768612,0.03118772157906985,1.124480751784756,0.26082675543169437,-0.026061649755201997,0.09620163497057424
C(dominance)[T.-dom]:lex_emb_norm,-0.013580316054616088,0.031187721579069842,-0.4354379020662372,0.6632507403797188,-0.07471195841750419,0.04755132630827201
profession_embedding_1,-27.351535242858883,0.4500248185330909,-60.777837391311984,0.0,-28.23363739293871,-26.469433092779056
profession_embedding_2,2.5713910425547386,0.07752691148924878,33.16772193241997,5.039888018071994e-233,2.4194290784643377,2.7233530066451395
profession_embedding_3,-2.4764315933764554,0.10912425946797862,-22.693685212160716,3.630764280048142e-112,-2.690328116275658,-2.2625350704772527
profession_embedding_4,0.6681078472515208,0.1084817321875944,6.1587129351528125,7.517023010049184e-10,0.4554707542152294,0.8807449402878123
profession_embedding_5,-0.6504266330104219,0.11343067353619743,-5.7341335701657545,9.986033807889688e-09,-0.8727642394949526,-0.4280890265258912
