term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,31.01997520423652,0.5249245819462833,59.09415613424418,0.0,29.991060548880448,32.04888985959259
C(tense)[T.past perfect],0.05633523553160291,0.1373789798264707,0.41007172715041534,0.6817590723610915,-0.21294391530798712,0.32561438637119294
C(tense)[T.present continuous],0.23708568105782005,0.13737897982647218,1.7257784368270213,0.08440746678518765,-0.03219346978177287,0.506364831897413
C(tense)[T.present perfect],0.03858016226468603,0.1373789798264713,0.2808301700407015,0.7788444585956836,-0.23069898857490512,0.30785931310427717
C(tense)[T.simple future],0.05511033411944018,0.13737897982647268,0.40115550566070307,0.6883112382432214,-0.2141688167201537,0.324389484959034
C(tense)[T.simple past],-0.04610983209265323,0.13737897982647093,-0.33563964553308273,0.7371472249538228,-0.3153889829322437,0.22316931874693724
C(semantic_role)[T.patient],0.13551812761235724,0.08981878141594411,1.5087949922720822,0.13137182546429257,-0.04053737388927689,0.31157362911399133
C(syntactic_role)[T.subject],0.03020416471530185,0.08981878141594424,0.33627894120972945,0.7366651394184289,-0.14585133678633252,0.20625966621693623
C(valence)[T.-val],0.010214205940300322,0.08981878141594417,0.11372015717958904,0.9094611248581055,-0.16584129556133392,0.18626970744193455
C(dominance)[T.-dom],-0.023055112074256076,0.07931579098380973,-0.29067493103563935,0.771303885263262,-0.17852350229864855,0.13241327815013643
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.03233737945555487,0.06529475560547447,0.4952523239530071,0.6204291310923231,-0.09564811269127835,0.1603228716023881
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.02392158508305605,0.0652947556054746,-0.3663630388265112,0.714099260908796,-0.15190707722988953,0.10406390706377741
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.01666717529296267,0.0652947556054745,0.2552605509953888,0.7985252970486206,-0.1113183168538706,0.14465266743979593
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.04298629760740684,0.06529475560547458,0.6583422697396955,0.5103281262201663,-0.0849991945394266,0.17097178975424027
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.007910919189454992,0.06529475560547437,0.12115703805148684,0.9035682427423748,-0.12007457295737803,0.13589641133628802
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077605366,0.06529475560547449,0.1304900676723109,0.8961804269956629,-0.11946517506922788,0.1365058092244386
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.040378570556630855,0.06529475560547446,-0.6184044979141544,0.5363179374659808,-0.16836406270346405,0.08760692159020234
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.05762329101562071,0.06529475560547446,0.882510248813757,0.3775148020778918,-0.07036220113121247,0.1856087831624539
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436029014,0.06529475560547449,2.078265598851751,0.037701528387724004,0.007714352213456899,0.2636853365071234
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.017344284057622235,0.06529475560547464,0.26563058390815086,0.7905273071945929,-0.11064120808921132,0.14532977620445578
