term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,31.009204175246275,0.5250877686637409,59.05527804267738,0.0,29.979969638538964,32.03843871195359
C(tense)[T.past perfect],0.055280185635347756,0.1411840071653338,0.3915470792000668,0.695398349268077,-0.2214572759419557,0.3320176472126512
C(tense)[T.present continuous],0.2614331770905291,0.14118400716533425,1.8517194853690224,0.0640853672232585,-0.015304284486775177,0.5381706386678333
C(tense)[T.present perfect],0.042390091158725635,0.14118400716533386,0.3002471172891744,0.7639927467536187,-0.23434737041857792,0.3191275527360292
C(tense)[T.simple future],0.11938760157550117,0.14118400716533422,0.8456170353324207,0.39777964308497105,-0.15734986000180307,0.3961250631528054
C(tense)[T.simple past],-0.06208349542272419,0.1411840071653347,-0.43973461774619277,0.6601355378615532,-0.33882095700002934,0.214653966154581
C(semantic_role)[T.patient],0.13551812761235166,0.08980546562430784,1.509018706937929,0.13131465123303948,-0.04051127608303379,0.3115475313077371
C(syntactic_role)[T.subject],0.026610896310445678,0.08544763768153973,0.31142928034621076,0.7554785404903253,-0.14087664583074805,0.19409843845163943
C(valence)[T.-val],0.005725992083304845,0.08780571298006469,0.0652120675178034,0.9480060050782958,-0.16638365836480037,0.17783564253141007
C(dominance)[T.-dom],0.002080214311227164,0.08980546562430793,0.023163560221707777,0.9815201076031269,-0.17394918938415846,0.17810961800661276
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.032337379455553816,0.06528507554361149,0.49532575686386277,0.6203773059727506,-0.0956291406026589,0.16030389951376653
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.02392158508303182,0.06528507554361127,-0.36641736084155857,0.714058733747444,-0.1518881051412441,0.10404493497518044
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.01666717529297053,0.06528507554361146,0.25529839943030463,0.7984960677068613,-0.11129934476524213,0.1446336953511832
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.042986297607409,0.06528507554361149,0.6584398846056854,0.5102654212549168,-0.08498022245080372,0.1709528176656217
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.007910919189452642,0.06528507554361139,0.12117500245776741,0.9035540146025826,-0.12005560086875988,0.13587743924766515
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077610251,0.0652850755436113,0.13050941592184517,0.8961651208160286,-0.1194462029806021,0.1364868371358226
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.04037857055662307,0.06528507554361125,-0.618496191057475,0.5362575150887262,-0.16834509061483532,0.08758794950158917
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.05762329101562741,0.06528507554361117,0.8826411019029058,0.37744408100002025,-0.07034322904258467,0.18558981107383948
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436028762,0.06528507554361124,2.0785737510503215,0.03767317006045908,0.007733324302075406,0.26366636441849983
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.01734428405761877,0.06528507554361135,0.26566996994638603,0.790496972463,-0.11062223600059366,0.1453108041158312
C(tense)[T.past perfect]:C(valence)[T.-val],-0.06075229644775733,0.06528507554361143,-0.9305694439638638,0.35209100886880224,-0.18871881650596994,0.06721422361045527
C(tense)[T.present continuous]:C(valence)[T.-val],-0.04507141113281785,0.06528507554361132,-0.6903784786571862,0.48996667940418187,-0.17303793119103023,0.08289510892539453
C(tense)[T.present perfect]:C(valence)[T.-val],-0.03139533996582241,0.06528507554361133,-0.4808961267855145,0.630597202207578,-0.15936186002403482,0.09657118009238999
