term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.967068576067874,0.5249433091851878,58.99126255011169,0.0,29.938117197135995,31.996019954999753
C(tense)[T.past perfect],0.05528018563536996,0.14120619245304353,0.3914855621771173,0.6954438104628412,-0.22150076174693656,0.3320611330176765
C(tense)[T.present continuous],0.2614331770905197,0.1412061924530442,1.8514285567005502,0.06412717938493408,-0.015347770291788132,0.5382141244728276
C(tense)[T.present perfect],0.042390091158744175,0.14120619245304383,0.30019994465073063,0.7640287257898108,-0.23439085622356295,0.31917103854105133
C(tense)[T.simple future],0.1193876015754986,0.14120619245304425,0.8454841781474913,0.397853784488979,-0.15739334580680936,0.39616854895780657
C(tense)[T.simple past],-0.06208349542272882,0.14120619245304483,-0.4396655298482989,0.6601855816353781,-0.33886444280503797,0.21469745195958032
C(semantic_role)[T.patient],0.13551812761235357,0.0898195774216199,1.5087816209179121,0.13137524765095582,-0.04053893688573071,0.3115751921104378
C(syntactic_role)[T.subject],0.03109911016745695,0.08751504805634883,0.35535728835380387,0.7223268410093378,-0.14044080242737647,0.20263902276229037
C(valence)[T.-val],0.08999719043989829,0.08221245408013554,1.0946904753892235,0.27366949537587393,-0.0711490067036239,0.2511433875834205
C(dominance)[T.-dom],0.002080214311239832,0.0898195774216199,0.023159920932105352,0.9815230105098558,-0.17397685018684445,0.17813727880932412
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.032337379455554704,0.0652953342705961,0.4952479348913744,0.6204322302005055,-0.09564924892881857,0.16032400783992798
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.023921585083032822,0.065295334270596,-0.36635979201664437,0.7141016842825634,-0.1519082134674059,0.10406504330134025
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.016667175292956037,0.06529533427059613,0.2552582888064273,0.7985270447988905,-0.11131945309141729,0.14465380367732936
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.04298629760741797,0.06529533427059617,0.6583364353305039,0.510331876261432,-0.08500033077695544,0.17097292599179137
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.007910919189459513,0.06529533427059594,0.12115596432472801,0.9035690934852164,-0.12007570919491345,0.1358975475738325
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077610251,0.06529533427059576,0.13048891123369558,0.8961813421987026,-0.11946631130676236,0.13650694546198286
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.04037857055662637,0.06529533427059583,-0.6183990174441895,0.5363215509132663,-0.1683651989409991,0.08760805782774637
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.0576232910156255,0.0652953342705958,0.8825024277664931,0.37751903219324895,-0.0703633373687472,0.18560991939999819
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436029395,0.0652953342705959,2.0782471806933214,0.03770322738596181,0.007713215975921062,0.26368647274466683
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.017344284057620278,0.065295334270596,0.2656282298171925,0.7905291210454295,-0.1106423443267528,0.14533091244199337
C(tense)[T.past perfect]:C(valence)[T.-val],-0.060752296447758855,0.06529533427059586,-0.9304232396757505,0.35216667036681515,-0.18873892483213167,0.06723433193661395
C(tense)[T.present continuous]:C(valence)[T.-val],-0.04507141113283154,0.06529533427059596,-0.6902700114229796,0.49003487328259865,-0.17305803951720455,0.08291521725154145
C(tense)[T.present perfect]:C(valence)[T.-val],-0.03139533996582908,0.06529533427059601,-0.4808205718914149,0.6306509032661897,-0.15938196835020219,0.09659128841854403
C(tense)[T.simple future]:C(valence)[T.-val],0.07471237182617486,0.06529533427059586,1.1442222122112595,0.2525493939617289,-0.05327425655819794,0.20269900021054765
C(tense)[T.simple past]:C(valence)[T.-val],-0.022147369384759388,0.065295334270596,-0.3391876254584527,0.7344730459406028,-0.15013399776913247,0.10583925899961369
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.0021100997924837286,0.06529533427059589,0.032316241521011084,0.9742202786426005,-0.12587652859188914,0.13009672817685658
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.048694992065430334,0.06529533427059589,-0.7457652619347858,0.45582068492821576,-0.17668162044980318,0.07929163631894252
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.007619857788080376,0.06529533427059592,-0.11669835024509223,0.9071006293343737,-0.1356064861724533,0.12036677059629254
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.12855453491210542,0.06529533427059594,-1.9688165524867618,0.048992181680504725,-0.25654116329647836,-0.000567906527732448
C(tense)[T.simple past]:C(dominance)[T.-dom],0.03194732666016534,0.06529533427059594,0.48927426464760415,0.624654552336913,-0.09603930172420763,0.1599339550445383
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.15468120574952057,0.03769827881795525,-4.103137082105927,4.096970051223028e-05,-0.22857432009991108,-0.08078809139913008
C(semantic_role)[T.patient]:C(valence)[T.-val],0.05103638966878051,0.037698278817955226,1.3538121969768155,0.1758162985166154,-0.022856724681609937,0.12492950401917097
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.056570752461752305,0.037698278817955254,-1.5006189734797206,0.13347477584633613,-0.1304638668121428,0.0173223618886382
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.00897642771403126,0.037698278817955254,-0.23811240182551494,0.811797104719882,-0.08286954206442176,0.06491668663635924
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.019149208068842717,0.03769827881795522,0.5079597442979861,0.6114888974491304,-0.05474390628154772,0.09304232241923316
C(valence)[T.-val]:C(dominance)[T.-dom],-0.04900074005125567,0.03769827881795523,-1.299813720617855,0.19368440402810042,-0.12289385440164613,0.024892374299134795
log_frequency,0.7666054314541458,0.031295777438861264,24.49549089974739,5.198150849213788e-130,0.7052619820053951,0.8279488809028965
