term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,31.012878571125214,0.5246300049610697,59.11381026219904,0.0,29.98454133234902,32.0412158099014
C(tense)[T.past perfect],0.07144887536316036,0.1373494938879476,0.5201975874876521,0.6029333908451884,-0.19777247674482712,0.34067022747114784
C(tense)[T.present continuous],0.24947238454903592,0.1373494938879482,1.816332754400677,0.06933889773415067,-0.01974896755895278,0.5186937366570246
C(tense)[T.present perfect],0.050723678805207235,0.13734949388794782,0.3693037183419731,0.7119064633184654,-0.2184976733027807,0.31994503091319515
C(tense)[T.simple future],0.14088075037924655,0.13734949388794845,1.0257100073057346,0.30504450658917154,-0.1283406017287426,0.41010210248723566
C(tense)[T.simple past],-0.058128035827965746,0.13734949388794856,-0.42321259571139974,0.6721461042486632,-0.32734938793595514,0.21109331628002362
C(semantic_role)[T.patient],0.1481814920227371,0.07929876726926598,1.8686481155447692,0.06169087491550255,-0.007253528088405625,0.3036165121338798
C(syntactic_role)[T.subject],0.031099110167450955,0.0874954891022247,0.35543672578498925,0.7222673377251011,-0.140402460116221,0.20260068045112292
C(valence)[T.-val],-0.014286164085344359,0.08779988354225046,-0.16271279082585194,0.8707467237342192,-0.1863843836932923,0.15781205552260358
C(dominance)[T.-dom],-0.02242015571439191,0.08779988354225036,-0.25535518738590424,0.7984522102752392,-0.19451837532233965,0.14967806389355584
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077606476,0.06528074125515582,0.13051808104175822,0.8961582652397995,-0.11943770395203585,0.1364783381072488
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.04037857055662609,0.06528074125515586,-0.6185372558623788,0.536230452201507,-0.16833659158626849,0.08757945047301632
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.057623291015618826,0.06528074125515587,0.882699704502325,0.3774124054421556,-0.0703347300140236,0.18558131204526127
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436029334,0.06528074125515594,2.0787117571152827,0.037660468770476,0.0077418233306507656,0.2636578653899359
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.017344284057618863,0.06528074125515608,0.2656876089967645,0.7904833856625681,-0.11061373697202398,0.14530230508726172
