term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.975762549698743,0.52411015790071,59.1016260279522,0.0,29.94844428894372,32.00308081045377
C(tense)[T.past perfect],0.07144887536311684,0.13733934526958774,0.5202360272132329,0.6029066011207473,-0.19775258007273727,0.34065033079897095
C(tense)[T.present continuous],0.24947238454900203,0.13733934526958827,1.8164669713497166,0.06931831913142428,-0.01972907088685308,0.5186738399848572
C(tense)[T.present perfect],0.05072367880519739,0.13733934526958824,0.36933100784505773,0.7118861242851806,-0.21847777663065765,0.31992513424105246
C(tense)[T.simple future],0.14088075037921424,0.13733934526958852,1.0257858016045887,0.3050087688009698,-0.12832070505664137,0.4100822058150698
C(tense)[T.simple past],-0.05812803582800352,0.13733934526958871,-0.4232438687828441,0.6721232888796055,-0.3273294912638595,0.21107341960785247
C(semantic_role)[T.patient],0.1928267746728029,0.06800291003551785,2.835566515787187,0.0045804463398013305,0.05953298097151155,0.32612056837409426
C(syntactic_role)[T.subject],0.03618550034486061,0.0833316972928482,0.43423452924156586,0.6641242614059917,-0.1271545399847353,0.1995255406744565
C(valence)[T.-val],0.03124418691766211,0.08574731256289957,0.3643751154853171,0.7155829479807874,-0.1368307467172312,0.19931912055255543
C(dominance)[T.-dom],0.01165481834565649,0.08779339609562894,0.13275279080173047,0.8943906361436309,-0.16043068242768418,0.18374031911899716
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077615358,0.06527591772570202,0.13052772560653764,0.8961506350537459,-0.11942824727717086,0.13646888143240157
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.040378570556605126,0.06527591772570206,-0.6185829623457944,0.5362003326667502,-0.16832713491139142,0.08756999379818117
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.05762329101563815,0.06527591772570221,0.8827649311309359,0.3773771537517602,-0.07032527333914843,0.18557185537042473
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436030205,0.06527591772570207,2.0788653624224867,0.037646338885562264,0.007751280005515726,0.2636484087150884
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.01734428405761732,0.06527591772570203,0.26570724184224076,0.7904682637801443,-0.11060428029716893,0.14529284841240356
C(tense)[T.past perfect]:C(valence)[T.-val],-0.06075229644774979,0.06527591772570213,-0.9306999972491973,0.3520234478736233,-0.1887008608025362,0.06719626790703662
C(tense)[T.present continuous]:C(valence)[T.-val],-0.04507141113281724,0.06527591772570229,-0.6904753345975624,0.48990578444489985,-0.17301997548760398,0.08287715322196951
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0313953399658173,0.06527591772570213,-0.48096359361418084,0.6305492478410528,-0.15934390432060372,0.0965532243889691
C(tense)[T.simple future]:C(valence)[T.-val],0.07471237182618064,0.06527591772570235,1.1445625650202493,0.2524083023173086,-0.053236192528606216,0.20266093618096748
C(tense)[T.simple past]:C(valence)[T.-val],-0.02214736938475027,0.06527591772570221,-0.33928851797712534,0.7343970457895498,-0.15009593373953684,0.1058011949700363
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.002110099792485616,0.06527591772570226,0.03232585409756358,0.974212612826383,-0.12583846456230108,0.1300586641472723
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.048694992065427135,0.06527591772570239,-0.7459870923615293,0.45568666728106483,-0.17664355642021407,0.07925357228935981
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.007619857788090986,0.06527591772570232,-0.1167330625685049,0.9070731205754587,-0.1355684221428778,0.12032870656669581
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.1285545349121088,0.0652759177257024,-1.9694021837013627,0.04892492975317653,-0.25650309926689574,-0.0006059705573218388
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0319473266601699,0.06527591772570229,0.48941980095043064,0.6245515330407951,-0.09600123769461684,0.15989589101495666
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.15468120574951855,0.037687068670534105,-4.10435757425881,4.075415360285613e-05,-0.22855234382218087,-0.08081006767685622
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.056570752461751785,0.037687068670534146,-1.5010653377237047,0.13335928783649337,-0.13044189053441418,0.017300385610910622
C(valence)[T.-val]:C(dominance)[T.-dom],-0.04900074005125969,0.037687068670534056,-1.3002003546529828,0.193551884443691,-0.12287187812392192,0.024870398021402534
log_frequency,0.7729224863923849,0.031286471171048755,24.70468728053985,3.6395182204814335e-132,0.711597280871959,0.8342476919128109
C(tense)[T.past perfect]:log_frequency,0.012964160720693008,0.01952265606407716,0.6640572203977834,0.5066636903977543,-0.025302567696476402,0.05123088913786242
C(tense)[T.present continuous]:log_frequency,0.02068547386655244,0.01952265606407744,1.059562479544709,0.28936040849835987,-0.017581254550617518,0.0589522022837224
C(tense)[T.present perfect]:log_frequency,0.03661121087486708,0.019522656064077337,1.8753191550730404,0.06076784956498317,-0.0016555175423026772,0.07487793929203684
C(tense)[T.simple future]:log_frequency,0.06102878808043562,0.019522656064077312,3.1260494412300646,0.0017750326466742328,0.02276205966326591,0.09929551649760532
C(tense)[T.simple past]:log_frequency,0.022703971948628505,0.0195226560640776,1.162955075073245,0.24486585839302333,-0.015562756468541765,0.060970700365798776
C(semantic_role)[T.patient]:log_frequency,-0.007866356324456359,0.008384592194292108,-0.9381918812713941,0.34816061179567603,-0.0243011545063533,0.008568441857440583
C(valence)[T.-val]:log_frequency,-0.019608309647188415,0.011271410733891549,-1.7396499968037702,0.08194059319683311,-0.04170161559984771,0.002484996305470881
C(dominance)[T.-dom]:log_frequency,-0.009017638039089802,0.011271410733891552,-0.8000451985992337,0.42369702523561686,-0.031110943991749105,0.0130756679135695
lex_emb_norm,48.56848282271797,2.2817025865158516,21.286070809465926,4.154088494883238e-99,44.09607430820151,53.04089133723443
C(tense)[T.past perfect]:lex_emb_norm,-0.8322146932261152,1.3547574371252948,-0.6142905515189637,0.5390324743061315,-3.4877004400147764,1.823271053562546
C(tense)[T.present continuous]:lex_emb_norm,-2.315808852566817,1.354757437125293,-1.7093900273991574,0.08739899463456477,-4.971294599355474,0.3396768942218409
C(tense)[T.present perfect]:lex_emb_norm,-2.285760795067641,1.3547574371252946,-1.687210368756398,0.09158328190440033,-4.941246541856302,0.36972495172101993
C(tense)[T.simple future]:lex_emb_norm,-1.8376408675211766,1.3547574371252935,-1.3564353419757047,0.17498069921256473,-4.493126614309835,0.817844879267482
C(tense)[T.simple past]:lex_emb_norm,-1.3118998830178956,1.3547574371252942,-0.9683651457205952,0.33287733898261523,-3.9673856298065555,1.3435858637707643
C(syntactic_role)[T.subject]:lex_emb_norm,-0.5916246776493483,0.581841353717295,-1.0168144183453947,0.3092577918109569,-1.7321029502521808,0.5488535949534841
C(valence)[T.-val]:lex_emb_norm,1.7255417432779947,0.782169571010936,2.2060967432519423,0.027392024501073583,0.19239633254034771,3.2586871540156417
C(dominance)[T.-dom]:lex_emb_norm,0.4916257173050126,0.7821695710109363,0.6285410932946389,0.5296589133885923,-1.041519693432635,2.02477112804266
log_frequency:lex_emb_norm,-4.750353462104253,0.2264305355999358,-20.979297025986455,2.292293662790948e-96,-5.194184249406838,-4.306522674801668
profession_embedding_1,-37.44922995714147,0.5497654046684841,-68.11856409867015,0.0,-38.526835553662465,-36.37162436062047
profession_embedding_2,2.3263836569276672,0.09566691328440291,24.317536513503775,3.4135837414474243e-128,2.1388651257837754,2.513902188071559
profession_embedding_3,-4.826348596276607,0.12908561262787246,-37.38874145633865,7.312746087349855e-293,-5.079371753821447,-4.573325438731767
profession_embedding_4,-2.1928297057700386,0.13237063403738547,-16.5658321554214,4.1863352360887995e-61,-2.45229189608326,-1.9333675154568173
profession_embedding_5,-2.38839411236494,0.14636952183456364,-16.317564493135794,2.3454762950568415e-59,-2.6752957881517974,-2.1014924365780825
