term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,31.043299921241626,0.5222865706415084,59.43729298479205,0.0,30.01955613489157,32.06704370759168
C(tense)[T.past perfect],0.03297019339056506,0.12221497508847269,0.2697721238064124,0.7873392050459003,-0.20658569101992935,0.2725260778010595
C(tense)[T.present continuous],0.14239752385202656,0.12221497508847316,1.1651397363452634,0.24398058395193203,-0.09715836055846877,0.3819534082625219
C(tense)[T.present perfect],-0.054961865339434354,0.1222149750884734,-0.4497146548501652,0.6529225684632958,-0.29451774974993017,0.18459401907106143
C(tense)[T.simple future],0.05591469643099,0.12221497508847302,0.4575110078819115,0.6473102828940127,-0.18364118797950504,0.29547058084148503
C(tense)[T.simple past],-0.1187856747634659,0.1222149750884738,-0.9719404244649613,0.3310955395786419,-0.3583415591739625,0.12077020964703068
C(semantic_role)[T.patient],0.16730857983842704,0.07056084876633374,2.3711248201177244,0.01774634297142658,0.029000925488067986,0.3056162341887861
C(syntactic_role)[T.subject],0.036185500344892416,0.08332633202653177,0.43426248899772363,0.6641039584703873,-0.12714401920742202,0.19951501989720682
C(valence)[T.-val],0.005725992083291016,0.08778774356524499,0.06522541588092401,0.9479953767038397,-0.16634842461523602,0.17780040878181808
C(dominance)[T.-dom],0.03438586332683736,0.07999353497029545,0.4298580296470971,0.6673049660221709,-0.12241097767451048,0.19118270432818518
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077607586,0.06527171497099983,0.13053613010464266,0.8961439856728369,-0.11942000607467673,0.1364606402298919
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.04037857055663836,0.06527171497099982,-0.6186227920406034,0.5361740850631166,-0.16831889370892267,0.08756175259564593
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.05762329101562206,0.06527171497099997,0.8828217711335441,0.37734643410413693,-0.07031703213666254,0.18556361416790665
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436029034,0.06527171497099984,2.078999217663909,0.03763402686599059,0.007759521208005993,0.2636401675125747
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.017344284057616007,0.06527171497099996,0.26572435036097986,0.7904550857267088,-0.11059603909466856,0.14528460720990058
C(tense)[T.past perfect]:C(valence)[T.-val],-0.06075229644775722,0.0652717149709998,-0.9307599237242263,0.3519924375521603,-0.18869261960004147,0.06718802670452705
C(tense)[T.present continuous]:C(valence)[T.-val],-0.04507141113281755,0.06527171497099987,-0.6905197933414605,0.48987783294187304,-0.17301173428510194,0.08286891201946686
C(tense)[T.present perfect]:C(valence)[T.-val],-0.031395339965822874,0.06527171497099973,-0.48099456218933184,0.6305272357881738,-0.15933566311810698,0.09654498318646125
C(tense)[T.simple future]:C(valence)[T.-val],0.07471237182617553,0.065271714971,1.1446362618075836,0.2523777550826288,-0.053227951326109094,0.20265269497846017
C(tense)[T.simple past]:C(valence)[T.-val],-0.02214736938476291,0.06527171497099983,-0.3393103642918371,0.7343805887830258,-0.15008769253704723,0.1057929537675214
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.0021100997924874063,0.06527171497099983,0.032327935514256396,0.9742109528532157,-0.1258302233597969,0.13005042294477173
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.048694992065427,0.06527171497099991,-0.7460351254300899,0.45565764884017423,-0.17663531521771147,0.0792453310868575
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.007619857788091547,0.06527171497099987,-0.11674057884762241,0.9070671637762181,-0.13556018094037595,0.12032046536419286
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.12855453491212204,0.06527171497100002,-1.9695289907617461,0.048910374024746114,-0.25649485806440675,-0.0006142117598373631
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0319473266601679,0.06527171497099989,0.48945131400886344,0.6245292256841556,-0.09599299649211654,0.15988764981245232
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.15468120574950786,0.03768464220897539,-4.104621848119001,4.070757816872399e-05,-0.22854758576168716,-0.08081482573732858
C(semantic_role)[T.patient]:C(valence)[T.-val],0.05103638966878677,0.037684642208975376,1.3543020890518471,0.17566000344494143,-0.022829990343392483,0.12490276968096603
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.05657075246175099,0.037684642208975355,-1.5011619892274717,0.13333428693989688,-0.13043713247393018,0.017295627550428225
C(valence)[T.-val]:C(dominance)[T.-dom],-0.049000740051265874,0.03768464220897537,-1.3002840727407874,0.1935231944979299,-0.1228671200634451,0.024865639960913365
log_frequency,0.7843323372392835,0.029893364265531935,26.237673694815452,1.8499868767294566e-148,0.7257377884988321,0.842926885979735
C(tense)[T.past perfect]:log_frequency,0.0049493769565291945,0.014521604655386707,0.34082851544186965,0.7332373579563124,-0.023514695009794265,0.033413448922852654
C(tense)[T.present continuous]:log_frequency,-0.0016173133151387556,0.014521604655386728,-0.11137290633640959,0.9113221036633673,-0.030081385281462255,0.026846758651184747
C(tense)[T.present perfect]:log_frequency,0.014597806571649694,0.014521604655386714,1.0052474859405234,0.31479357890811277,-0.013866265394673779,0.043061878537973164
C(tense)[T.simple future]:log_frequency,0.04333107821148818,0.014521604655386697,2.983904275028917,0.0028504471559505757,0.014867006245164745,0.07179515017781163
