predictor,unique_r2,relative_r2
profession_embedding_7,0.08682510573894298,0.1886319292490697
profession_embedding_10,0.05634656331139609,0.12241575582920669
profession_embedding_2,0.05039214119187441,0.10947947291414963
log_frequency,0.042549004008591074,0.09243986109154892
profession_embedding_1,0.04182921982628218,0.09087609358678915
profession_embedding_3,0.04098158772140459,0.08903457001044876
profession_embedding_4,0.0362997106994325,0.07886295561798426
profession_embedding_9,0.030393469525993644,0.06603134824274141
C(syntactic_role),0.026087353172199346,0.0566760928880351
profession_embedding_5,0.014290712893273994,0.03104729583063156
C(tense),0.013663080717716047,0.029683733216722928
profession_embedding_8,0.010525021219873865,0.022866140400238277
lex_emb_norm,0.007544231185061867,0.016390223438575456
"C(dominance, Treatment(reference='-dom'))",0.001075672514954329,0.0023369528894800523
"C(valence, Treatment(reference='-val'))",0.001074115529449915,0.002333570259801564
profession_embedding_6,0.0004080203470201438,0.0008864448200350862
C(semantic_role),3.4796495854694243e-06,7.559714541452328e-06
