term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,-3.3884094525722324,0.15513639200959625,-21.841486763225973,2.91688936571489e-104,-3.6924937762794,-3.0843251288650646
C(tense)[T.past perfect],0.002609896292533609,0.029348139028703642,0.08892885133128976,0.929139547007259,-0.0549156713257674,0.060135463910834616
C(tense)[T.present continuous],-0.21837464005088178,0.029348139028703507,-7.440834317886519,1.0503365601363366e-13,-0.27590020766918255,-0.16084907243258104
C(tense)[T.present perfect],-0.10575757478714679,0.02934813902870375,-3.6035530117841987,0.0003148316521019079,-0.163283142405448,-0.04823200716884557
C(tense)[T.simple future],0.13991943814677493,0.029348139028703507,4.767574462214753,1.8806812316753983e-06,0.08239387052847419,0.19744500576507568
C(tense)[T.simple past],-0.05265474848885762,0.029348139028703504,-1.7941426690584859,0.07280892783437677,-0.11018031610715837,0.004870819129443114
C(semantic_role)[T.patient],-0.03461599499673278,0.0169441559684365,-2.042945960909195,0.0410738395719393,-0.06782839694644466,-0.0014035930470208888
C(syntactic_role)[T.subject],-0.3930888786622228,0.016944155968436497,-23.19908288111058,3.654221419343145e-117,-0.4263012806119347,-0.35987647671251094
"C(valence, Treatment(reference='-val'))[T.+val]",-0.11108873639986674,0.016944155968436438,-6.556168191959681,5.686624148855064e-11,-0.14430113834957853,-0.07787633445015497
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.03598720445309575,0.016944155968436455,-2.123871175414854,0.033695934813824234,-0.06919960640280756,-0.0027748025033839455
log_frequency,-2.515318887584478,0.07916395775773093,-31.77353632674889,5.147432748720054e-215,-2.670488917291327,-2.360148857877629
lex_emb_norm,-0.2760017537696926,0.011096335504686987,-24.87323438022508,4.534686060855065e-134,-0.2977517869750662,-0.254251720564319
profession_embedding_1,0.025013108527064624,0.0007552034101499829,33.12102168884147,7.227237893148307e-233,0.02353282710977732,0.02649338994435193
profession_embedding_2,0.028979659663187267,0.0007059009144473696,41.05343833684455,0.0,0.027596016538621614,0.03036330278775292
profession_embedding_3,0.030229355993231576,0.0007551316249309656,40.031903042062574,0.0,0.028749215282837696,0.03170949670362545
profession_embedding_4,0.010838172078556961,0.00032715120623113354,33.12893815497581,5.6516179967265165e-233,0.010196919874556853,0.01147942428255707
profession_embedding_5,-0.00881276455044574,0.00028674669606977565,-30.733621943114844,1.1013056247847235e-201,-0.0093748194881695,-0.00825070961272198
profession_embedding_6,-0.0007728889404689447,0.000297418755665268,-2.598655685785996,0.009367386013507601,-0.0013558622841361484,-0.00018991559680174097
profession_embedding_7,0.01855518170314459,0.0003705587162872554,50.073526508982994,0.0,0.01782884602409234,0.01928151738219684
profession_embedding_8,-0.005858633681279761,0.00036177011609437573,-16.19435498025328,1.582396107333166e-58,-0.0065677427411528115,-0.005149524621406711
profession_embedding_9,0.01678633452901414,0.00042006690821817143,39.961097150494346,0.0,0.015962957370098507,0.017609711687929776
profession_embedding_10,0.024836664314646494,0.0005348915353786935,46.43308534890646,0.0,0.023788218307327608,0.02588511032196538
