predictor,unique_r2,relative_r2
profession_embedding_7,0.08471064595719136,0.1634332079027522
profession_embedding_10,0.07284113784907009,0.14053323158432934
profession_embedding_2,0.05694042565321278,0.10985580759891156
profession_embedding_3,0.05414197687201827,0.10445672869573223
profession_embedding_9,0.053950620460553544,0.10408754260554182
profession_embedding_4,0.03707973904039541,0.07153836015642238
profession_embedding_1,0.03706202006462411,0.07150417473594385
log_frequency,0.03410772430116038,0.06580441848617583
profession_embedding_5,0.03191164015268666,0.061567488485773966
lex_emb_norm,0.020901919037362715,0.04032630894263407
C(syntactic_role),0.018182904998152782,0.03508048438611652
profession_embedding_8,0.008860310596671028,0.017094297504949712
C(tense),0.005654865721686497,0.010909996432108172
"C(valence, Treatment(reference='-val'))",0.0014521845421634483,0.002801716071348335
profession_embedding_6,0.00022814928804371082,0.00044017100335364944
"C(dominance, Treatment(reference='-dom'))",0.00015239754761564583,0.00029402231327481696
C(semantic_role),0.00014100528631943998,0.00027204309463155235
