predictor,unique_r2,relative_r2
profession_embedding_10,0.07085186242817576,0.14313118354273005
lex_emb_norm,0.06731983506593175,0.13599596875319966
profession_embedding_7,0.06501710187837162,0.1313441090105892
profession_embedding_3,0.060005015474954515,0.12121895725940204
profession_embedding_2,0.05399498795322566,0.10907781766435667
profession_embedding_9,0.04288507085323201,0.08663415099016437
profession_embedding_1,0.03705500552837371,0.07485656150302399
log_frequency,0.032858108099294236,0.06637821138427395
profession_embedding_5,0.02328141869692102,0.04703189017821767
profession_embedding_4,0.01263905413251143,0.025532748397134434
C(tense),0.011099081959806245,0.022421778097297847
C(syntactic_role),0.008250710280472195,0.016667648344590752
profession_embedding_8,0.0062680893860054265,0.012662462518611315
"C(valence, Treatment(reference='-val'))",0.003293488677984291,0.006653331561218215
C(semantic_role),6.739431996416467e-05,0.00013614643920344287
profession_embedding_6,6.710975834023358e-05,0.00013557158286758598
"C(dominance, Treatment(reference='-dom'))",6.0125707607161516e-05,0.00012146277311878889
