term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,1.4731357383256396,0.022128891685706125,66.57069677272598,0.0,1.4297606869692496,1.5165107896820296
C(tense)[T.past perfect],0.15329115479547384,0.025215693782525125,6.079196397193998,1.2347735553921416e-09,0.10386563324933556,0.2027166763416121
C(tense)[T.present continuous],-0.17854138014761173,0.025215693782525122,-7.080565844725785,1.4942476030240217e-12,-0.22796690169375,-0.12911585860147345
C(tense)[T.present perfect],-0.07941695437145439,0.025215693782524883,-3.149505028748896,0.0016384266085946978,-0.12884247591759218,-0.029991432825316598
C(tense)[T.simple future],0.04166671479440159,0.0252156937825251,1.652411992061758,0.09846985144959484,-0.007758806751736638,0.09109223634053981
C(tense)[T.simple past],-0.02639870871148531,0.02521569378252521,-1.0469158191387915,0.29515392792563877,-0.07582423025762375,0.02302681283465312
C(semantic_role)[T.patient],-0.0747258655390929,0.014558287593143907,-5.132874664069995,2.886301561533271e-07,-0.1032617037085932,-0.04619002736959261
"C(valence, Treatment(reference='-val'))[T.+val]",-0.11343767935468757,0.014558287593143957,-7.791965822141721,6.9931024847371684e-15,-0.14197351752418796,-0.08490184118518718
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.11816160514195406,0.014558287593143898,-8.116449437199005,5.139929469855041e-16,-0.14669744331145435,-0.0896257669724538
log_frequency,-0.07982146929964598,0.008692536618731747,-9.182759049600879,4.696247240349133e-20,-0.09685979311675486,-0.0627831454825371
profession_embedding_2,0.007372882096868053,0.0002387812264127397,30.877143097187343,1.6768789317440727e-203,0.006904844740741248,0.007840919452994859
profession_embedding_3,0.0027512066056524006,0.00027029917743374277,10.178375797413558,2.9269224112430673e-24,0.002221390613541433,0.003281022597763368
profession_embedding_4,0.011467545320167671,0.000261048775151066,43.92874593466884,0.0,0.010955861129675016,0.011979229510660326
profession_embedding_5,0.005496383881755831,0.00026353338882821115,20.85649908042106,2.3339501595973165e-95,0.004979829576330283,0.0060129381871813796
profession_embedding_6,0.0028151763133303703,0.00027509380112023224,10.233514175406562,1.664485486961556e-24,0.0022759623336658565,0.003354390292994884
profession_embedding_7,-0.025781764782921896,0.00028190703904107866,-91.45484579108027,0.0,-0.0263343334551267,-0.02522919611071709
profession_embedding_8,-0.02423910304859985,0.00027574666584638313,-87.90352178583844,0.0,-0.024779596714632205,-0.023698609382567497
profession_embedding_9,-0.018070962093572045,0.00029641483538770617,-60.965106790068376,0.0,-0.01865196763557316,-0.017489956551570932
profession_embedding_10,0.010359221874145556,0.0002939072127273431,35.246572474408026,2.4510874087262118e-262,0.009783131547204489,0.010935312201086624
