predictor,unique_r2,relative_r2
profession_embedding_9,0.1769245051574293,0.6401877042067793
profession_embedding_10,0.02363707830415962,0.08552894852090193
profession_embedding_8,0.020271515651094085,0.07335091910483589
profession_embedding_5,0.017412008774896792,0.0630040135667515
profession_embedding_6,0.015227440524066216,0.05509932149519355
profession_embedding_3,0.010913684426069437,0.0394903270801619
C(tense),0.006409707424660183,0.0231930329672483
lex_emb_norm,0.0036203376272363474,0.013099913050323615
profession_embedding_2,0.0005964376246659908,0.002158163637635765
C(syntactic_role),0.0004978584682766574,0.0018014625477818006
log_frequency,0.0004388069077725376,0.0015877890212382523
profession_embedding_1,0.00019712325323817392,0.000713275319459154
profession_embedding_7,8.16661320225398e-05,0.0002955026129615947
profession_embedding_4,5.530687209809315e-05,0.0002001236597713296
"C(dominance, Treatment(reference='-dom'))",4.6426537297139525e-05,0.00016799085180472587
C(semantic_role),3.3581578524954914e-05,0.00012151235715143565
