term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,1.9157999371075651,0.036493041242269965,52.49767823922798,0.0,1.8442695784185026,1.9873302957966277
C(tense)[T.past perfect],0.011673001652923065,0.03317951095301816,0.3518135535346471,0.724982641717662,-0.05336247466819051,0.07670847797403664
C(tense)[T.present continuous],0.016894528810238087,0.03317951095304474,0.5091855884840204,0.6106290371723879,-0.048140947510927595,0.08193000513140378
C(tense)[T.present perfect],0.12476027131677728,0.03317951095306661,3.760160042541144,0.00017039809886183933,0.059724794995568736,0.18979574763798582
C(tense)[T.simple future],0.47593074182303435,0.033179510953028166,14.344115635001486,2.2219397415311088e-46,0.41089526550190114,0.5409662181441676
C(tense)[T.simple past],0.15597739095477667,0.033179510953031524,4.701015369864137,2.6098973906287422e-06,0.09094191463363689,0.22101286727591646
C(semantic_role)[T.patient],0.02577055250932768,0.019156199580322265,1.345285237881936,0.17855185590436862,-0.011777697251576284,0.06331880227023165
C(syntactic_role)[T.subject],-0.28513974092846966,0.019156199580320925,-14.884984870453762,8.760455595966804e-50,-0.322687990689371,-0.24759149116756832
"C(valence, Treatment(reference='-val'))[T.+val]",-0.18015244862206287,0.019156199580320946,-9.404394011802447,5.913551989586442e-21,-0.21770069838296424,-0.1426041988611615
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.024341211069833432,0.019156199580321644,-1.2706701539504806,0.20386415495861396,-0.06188946083073618,0.013207038691069317
log_frequency,0.4123783593450478,0.023623177702319247,17.4565151454862,1.2657081312102023e-67,0.3660743431024911,0.4586823755876045
lex_emb_norm,-0.5285342241927391,0.011715180156956093,-45.11533046112933,0.0,-0.5514972607116964,-0.5055711876737818
profession_embedding_1,-9.457082384570375e-06,4.012471462764124e-07,-23.56922029809416,8.302889298759858e-121,-1.0243570748353817e-05,-8.670594020786934e-06
profession_embedding_2,1.6652130190841763e-05,1.4890869459791701e-06,11.182778974596355,6.310148126316542e-29,1.3733356645552411e-05,1.9570903736131114e-05
profession_embedding_3,-4.025036530676657e-05,2.0959462027410905e-06,-19.20391146210094,2.7105537425073546e-81,-4.435864947743174e-05,-3.61420811361014e-05
profession_embedding_4,-1.565587595975786e-05,2.7885977818119533e-06,-5.614246723521779,2.0063935152804746e-08,-2.1121833106170954e-05,-1.0189918813344764e-05
profession_embedding_5,-6.609034434477569e-05,4.833232615558553e-06,-13.67414929130986,2.4811909118894227e-42,-7.556400975740586e-05,-5.661667893214552e-05
profession_embedding_6,8.299507098497431e-05,5.249144424428691e-06,15.811161643548678,6.783118000569005e-56,7.270617286334651e-05,9.328396910660212e-05
profession_embedding_7,2.5567111670173882e-05,6.447627774848196e-06,3.965351686384507,7.360084754458824e-05,1.2929054886508407e-05,3.8205168453839356e-05
profession_embedding_8,-0.00016945545483971748,6.838664054272357e-06,-24.779028987957467,4.333384262176068e-133,-0.0001828599855695239,-0.00015605092410991107
profession_embedding_9,0.0005450849349025853,7.517224565572385e-06,72.51146086535475,0.0,0.0005303503512335544,0.0005598195185716162
profession_embedding_10,-0.00018111142384911989,1.009606786089509e-05,-17.9388080928631,2.843149942178095e-71,-0.00020090082289220225,-0.00016132202480603753
