predictor,unique_r2,relative_r2
profession_embedding_9,0.17124783803625054,0.6438118582206925
log_frequency,0.019280613264161972,0.07248609731707673
profession_embedding_10,0.014945977037553626,0.056189890394028136
profession_embedding_7,0.012644579305601589,0.0475377102129313
profession_embedding_6,0.010938114261203058,0.04112219896431449
profession_embedding_3,0.00996748892862398,0.03747310122287888
profession_embedding_4,0.005988304130603916,0.022513225592364204
C(syntactic_role),0.004423676191072423,0.016630955586943472
C(tense),0.0038524321709858533,0.014483344975990586
profession_embedding_1,0.0036331109241641846,0.0136587995622631
profession_embedding_5,0.0023303083757572063,0.008760870693771353
"C(valence, Treatment(reference='-val'))",0.0023133814603696345,0.008697233400742813
lex_emb_norm,0.0022877756199310983,0.008600967404610664
profession_embedding_8,0.0017151973474490712,0.00644834062805881
C(semantic_role),0.00024997547758587313,0.0009397909987050354
"C(dominance, Treatment(reference='-dom'))",0.00017172740997228875,0.0006456148246279291
