term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,5.609344838073791,0.6653058073030159,8.431227830120225,3.7034031238938287e-17,4.3052725766935644,6.913417099454017
C(tense)[T.past perfect],0.052999185790809866,0.03273439298758689,1.6190673158627846,0.10545212791549362,-0.011163810262505888,0.11716218184412562
C(tense)[T.present continuous],0.08013989167224586,0.03273439298758671,2.4481862762091207,0.014368207590528283,0.015976895618930453,0.14430288772556127
C(tense)[T.present perfect],0.07405210375028357,0.03273439298758659,2.2622109955839207,0.02369748006567515,0.009889107696968394,0.13821509980359875
C(tense)[T.simple future],0.4402196439146847,0.03273439298758673,13.44822994217798,5.217235865630855e-41,0.3760566478613693,0.5043826399680001
C(tense)[T.simple past],-0.022356359761505334,0.03273439298758669,-0.6829624050149077,0.4946403059216086,-0.0865193558148207,0.04180663629181003
C(syntactic_role)[T.subject],-0.0752718795597701,0.018899210603142154,-3.982805480100609,6.84022672819759e-05,-0.11231640260316458,-0.03822735651637562
"C(valence, Treatment(reference='-val'))[T.+val]",-0.03031053148486572,0.01889921060314217,-1.603798810508324,0.10877778260773051,-0.06735505452826024,0.006733991558528801
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.08588263870746143,0.018899210603142143,4.544244757671665,5.552858308996888e-06,0.04883811566406697,0.1229271617508559
log_frequency,0.5872488385684295,0.01788799908681951,32.82920776763313,6.022714717188446e-229,0.5521864008673684,0.6223112762694906
lex_emb_norm,-0.42677234554495574,0.01255990073888472,-33.97895846610423,1.4293967154149859e-244,-0.45139112683241367,-0.4021535642574978
profession_embedding_1,-3.9976863773537916,0.7008848903850106,-5.703770237018207,1.1921871542457604e-08,-5.371497538986004,-2.6238752157215792
profession_embedding_2,-1.3312155062687532,0.1108216123770506,-12.012237303853079,4.228003495110645e-33,-1.548438006171751,-1.1139930063657553
profession_embedding_3,-4.35952256937851,0.15841692428618862,-27.519298137002078,5.3640793116919936e-163,-4.670037094318917,-4.049008044438103
profession_embedding_4,0.7337464804733561,0.12916953608706877,5.68049172197044,1.366007317993078e-08,0.4805600402266696,0.9869329207200426
profession_embedding_5,1.7086930440736818,0.13553799172608738,12.60674606664402,2.8621861944001773e-36,1.4430237331598343,1.9743623549875293
profession_embedding_6,5.299699357267303,0.16242530740104616,32.628532105417264,2.8759488771783033e-226,4.981327962334643,5.618070752199963
profession_embedding_7,5.3814868820231165,0.18654895413445619,28.84758538042717,1.61352743318404e-178,5.015830496935474,5.747143267110759
profession_embedding_8,2.702456643109696,0.17627139858913568,15.331225965981865,1.1027065169358877e-52,2.3569453927169963,3.0479678935023955
profession_embedding_9,-11.113033597713255,0.14611542026825214,-76.05654199475268,0.0,-11.39943582724461,-10.8266313681819
profession_embedding_10,1.6852310408028344,0.14479581742271652,11.638672102544064,3.4814079702645138e-31,1.401415377400937,1.9690467042047317
