predictor,unique_r2,relative_r2
profession_embedding_6,0.16274733697418065,0.40168170834329076
profession_embedding_4,0.09717248269660039,0.2398343934790262
profession_embedding_1,0.0363492589478317,0.08971472407867455
log_frequency,0.03334326668175269,0.08229554210522762
profession_embedding_5,0.024875842046987562,0.061396830914026285
profession_embedding_2,0.016279908648065944,0.0401809432891998
profession_embedding_9,0.011511917528835514,0.028412917748837432
profession_embedding_10,0.005030735348767523,0.012416512655051958
C(tense),0.004674346004029384,0.011536897151097673
lex_emb_norm,0.004340869765116051,0.0107138341884155
profession_embedding_7,0.003117437929907596,0.007694244444307654
"C(dominance, Treatment(reference='-dom'))",0.001559269725379342,0.0038484815709009927
"C(valence, Treatment(reference='-val'))",0.001437087294189121,0.0035469193542620155
profession_embedding_8,0.0012825069111278564,0.003165394756079129
profession_embedding_3,0.0007880406585404343,0.0019449873887442584
C(semantic_role),0.0006236061522627567,0.0015391415259472423
C(syntactic_role),3.1006058584859275e-05,7.652700691092911e-05
