predictor,unique_r2,relative_r2
profession_embedding_6,0.17320023407591956,0.41034656499471533
profession_embedding_4,0.15060321096981222,0.3568096234301164
profession_embedding_1,0.019791559561231464,0.046890228094494155
log_frequency,0.016017583349130726,0.037948911223476045
lex_emb_norm,0.012190224636609015,0.028881120356649283
profession_embedding_8,0.010566502148127821,0.025034191689330784
C(tense),0.007850695952568154,0.01859989470650577
C(syntactic_role),0.007674459671214606,0.018182355128301905
profession_embedding_5,0.007606160282820795,0.018020539992380347
profession_embedding_2,0.005988951462751135,0.014189043529714736
profession_embedding_10,0.004968838428888844,0.01177218837022204
profession_embedding_7,0.0027523236567622567,0.0065208142721737234
profession_embedding_9,0.001443233628457108,0.003419313865722841
"C(dominance, Treatment(reference='-dom'))",0.0006083302529062973,0.0014412580386758938
profession_embedding_3,0.0004169973557650586,0.0009879515086282516
"C(valence, Treatment(reference='-val'))",0.0003591870180950085,0.0008509870662263357
C(semantic_role),4.432449210145517e-05,0.00010501373266617483
