predictor,unique_r2,relative_r2
profession_embedding_4,0.07598986493798587,0.19471326401854297
profession_embedding_5,0.07186207959777313,0.18413639883505264
log_frequency,0.05850487832043061,0.14991046277125644
profession_embedding_3,0.04758700803924032,0.12193496682431029
profession_embedding_7,0.041133749895479244,0.10539940701312493
profession_embedding_1,0.034934173764489374,0.08951387142253511
profession_embedding_10,0.022948824405174095,0.05880311155923845
profession_embedding_9,0.018110815135011005,0.046406398167074966
C(tense),0.006409707424659961,0.016423967262975767
profession_embedding_8,0.004714000160493947,0.012078957616029163
profession_embedding_6,0.004093655915168526,0.010489413366661081
lex_emb_norm,0.0033988532183362175,0.008709079883248382
C(syntactic_role),0.0004978584682766574,0.0012756917972749538
"C(dominance, Treatment(reference='-dom'))",4.6426537297139525e-05,0.00011896142494241764
C(semantic_role),3.358157852484389e-05,8.604803773244702e-05
