predictor,unique_r2,relative_r2
profession_embedding_4,0.0678923771954858,0.17527616787446362
profession_embedding_5,0.06590436855687554,0.1701437723056117
profession_embedding_7,0.05336194390904325,0.1377632869118489
profession_embedding_3,0.045101980578246215,0.11643873209125324
log_frequency,0.03580297174580882,0.09243169771554736
profession_embedding_9,0.027015798824757242,0.06974605818318194
profession_embedding_10,0.02271385545358795,0.05863983124491471
profession_embedding_6,0.022478045865304996,0.058031047126731856
profession_embedding_1,0.021117647518119398,0.05451893841987544
C(syntactic_role),0.010764887537994539,0.027791459265396123
C(tense),0.007465804424758082,0.019274293281909403
"C(valence, Treatment(reference='-val'))",0.003259787499563793,0.008415717413509742
profession_embedding_8,0.0022484322643328003,0.005804725173826437
profession_embedding_2,0.001107702047106085,0.002859728558397902
C(semantic_role),0.0006363306162675553,0.0016427999214024996
"C(dominance, Treatment(reference='-dom'))",0.0004732368368151052,0.0012217445121291133
