predictor,unique_r2,relative_r2
profession_embedding_5,0.06274558296104482,0.1869279429100084
profession_embedding_4,0.04353847125432364,0.12970724766506703
log_frequency,0.03647801409774398,0.10867314980509385
profession_embedding_6,0.03527922957499263,0.10510180160406768
profession_embedding_3,0.030811284874689426,0.09179116406673106
C(syntactic_role),0.026087353172199124,0.07771790513881398
profession_embedding_9,0.023771658148796337,0.07081912299823892
profession_embedding_7,0.02137189579612797,0.06366989242473896
profession_embedding_10,0.019822022969357866,0.05905260263941458
C(tense),0.013663080717715936,0.04070424485436181
profession_embedding_1,0.013261199597576767,0.03950698430570097
profession_embedding_2,0.004224376701664534,0.012585014110226196
profession_embedding_8,0.0022819062704165782,0.006798120678984563
"C(dominance, Treatment(reference='-dom'))",0.001075672514954218,0.0032045801628787507
"C(valence, Treatment(reference='-val'))",0.001074115529449804,0.0031999416834233682
lex_emb_norm,0.00018135594799928434,0.0005402849522499069
