term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,1.0174677006750652,0.03643704782373708,27.92398839766133,1.1759845990003895e-167,0.946047095871317,1.0888883054788134
C(tense)[T.past perfect],0.011673001652681703,0.03437579558001521,0.3395703708299902,0.7341844692116797,-0.055707322977660303,0.07905332628302371
C(tense)[T.present continuous],0.016894528809945353,0.03437579558001497,0.49146582718706044,0.6231036335182782,-0.05048579582039618,0.08427485344028689
C(tense)[T.present perfect],0.1247602713164613,0.03437579558001486,3.629305713843419,0.00028505377842473614,0.05737994668611997,0.1921405959468026
C(tense)[T.simple future],0.4759307418230369,0.03437579558001495,13.84493751468922,2.401589078135924e-43,0.4085504171926954,0.5433110664533785
C(tense)[T.simple past],0.1559773909548304,0.03437579558001498,4.53741908581487,5.735353739705397e-06,0.08859706632448884,0.22335771558517198
C(syntactic_role)[T.subject],-0.28513974092843375,0.019846874831729134,-14.366984391546712,1.60407721724306e-46,-0.3240417894918457,-0.2462376923650218
"C(valence, Treatment(reference='-val'))[T.+val]",-0.18015244862206128,0.019846874831729092,-9.077119201359226,1.239878261145192e-19,-0.21905449718547315,-0.14125040005864942
log_frequency,-0.42899159203194565,0.013856417598602037,-30.959776506391254,1.4984546313136168e-204,-0.45615168826402175,-0.40183149579986954
lex_emb_norm,-0.2718756758682005,0.014888074744780674,-18.261305140445522,9.14238198259088e-74,-0.3010579331075739,-0.24269341862882712
profession_embedding_1,0.14679775516958582,0.006454007086808195,22.745211338493295,9.056509981041819e-113,0.13414719435090086,0.15944831598827078
profession_embedding_2,0.028958462499666493,0.005722329760169233,5.0606070802200795,4.2247099077306896e-07,0.017742069384208612,0.04017485561512438
profession_embedding_3,-0.2525456842621326,0.006412561416872661,-39.38296537755368,0.0,-0.2651150070280639,-0.23997636149620127
profession_embedding_4,-0.23192491083125366,0.005429206258363151,-42.718014345834895,0.0,-0.24256674977639414,-0.22128307188611318
profession_embedding_5,-0.17605131061601867,0.005777457342849753,-30.472109124942616,2.1456406150858563e-198,-0.1873757598318351,-0.16472686140020223
profession_embedding_6,0.051557036686332026,0.006173002430979199,8.35201950149787,7.244352069111056e-17,0.03945727577243248,0.06365679760023157
profession_embedding_7,0.10758299902675167,0.006792631355301377,15.838191917008338,4.443216619796771e-56,0.09426869755119453,0.1208973005023088
profession_embedding_8,-0.029133217648079687,0.005744078631798674,-5.071869574835024,3.9824966847816865e-07,-0.040392240934156436,-0.017874194362002938
profession_embedding_9,0.14729168047763433,0.006082460046763393,24.21580731237378,2.663734940121683e-127,0.13536939255420175,0.1592139684010669
profession_embedding_10,-0.19607366503456805,0.0061579188891739715,-31.840897641454568,6.820660133051264e-216,-0.2081438605543796,-0.1840034695147565
