predictor,unique_r2,relative_r2
profession_embedding_2,0.21725767706278132,0.42069165628603716
profession_embedding_9,0.2081362157020895,0.4030291150149656
profession_embedding_8,0.0347888059210274,0.06736406547742527
profession_embedding_4,0.027349123133147635,0.052958072940869544
log_frequency,0.01421439843267469,0.027524361397013145
C(tense),0.0064097074246598496,0.012411577207510356
profession_embedding_6,0.0032976709117209513,0.0063855172185113725
lex_emb_norm,0.0023458394853218545,0.004542417611213145
profession_embedding_10,0.0007792644768985779,0.0015089458191003373
profession_embedding_7,0.0006553993881225351,0.0012690969444474408
C(syntactic_role),0.0004978584682763243,0.0009640391375199723
profession_embedding_5,0.0004591044354299578,0.0008889969181318392
profession_embedding_3,0.00015865369927159367,0.0003072125617139245
"C(dominance, Treatment(reference='-dom'))",4.642653729691748e-05,8.989904124502682e-05
C(semantic_role),3.358157852462185e-05,6.5026424295885e-05
