predictor,unique_r2,relative_r2
profession_embedding_2,0.19319253143053927,0.42572486278011534
profession_embedding_9,0.17481352430904062,0.38522433086567137
profession_embedding_8,0.024235278288162077,0.05340558688923904
profession_embedding_6,0.013304102665452566,0.02931732008335303
profession_embedding_4,0.01293988855745909,0.0285147269396121
profession_embedding_1,0.012435263378141936,0.02740271974332239
profession_embedding_5,0.010489973902166438,0.023116021447611986
C(tense),0.004674346004029495,0.010300529199637925
"C(dominance, Treatment(reference='-dom'))",0.001559269725379342,0.003436053583225495
"C(valence, Treatment(reference='-val'))",0.001437087294189121,0.003166808709381603
profession_embedding_7,0.0012813519047913946,0.0028236255294190136
profession_embedding_3,0.0012234904618038112,0.0026961203163874993
profession_embedding_10,0.0011698581580704692,0.002577934561594656
C(semantic_role),0.0006236061522626457,0.001374197240623162
lex_emb_norm,0.00038610666023031204,0.0008508362291641586
C(syntactic_role),3.100605858508132e-05,6.832588164119547e-05
