predictor,unique_r2,relative_r2
profession_embedding_2,0.18208900659359417,0.40861709168773386
profession_embedding_9,0.13218803625255027,0.29663674891688946
profession_embedding_4,0.041077094536037806,0.09217911184369301
profession_embedding_8,0.021889326260628783,0.04912077342255505
C(syntactic_role),0.01818290499815256,0.04080337356863167
profession_embedding_6,0.012687022997095454,0.028470331824144934
profession_embedding_1,0.010754498682473468,0.024133647914285836
profession_embedding_5,0.009247964798420605,0.020752908430080406
profession_embedding_3,0.007364528172557505,0.016526379817312344
C(tense),0.005654865721686608,0.012689809386666888
"C(valence, Treatment(reference='-val'))",0.0014521845421636703,0.003258776766997187
log_frequency,0.0012731449710662313,0.002857002765329211
profession_embedding_10,0.0009474822737993716,0.0021261989308870247
lex_emb_norm,0.0005065512624360391,0.0011367270738608444
"C(dominance, Treatment(reference='-dom'))",0.00015239754761575686,0.0003419879313531508
C(semantic_role),0.00014100528631966203,0.0003164231113475878
profession_embedding_7,1.4574803460454255e-05,3.270660823156279e-05
