predictor,unique_r2,relative_r2
profession_embedding_2,0.17423849578019712,0.3693436001410093
profession_embedding_9,0.1405777494470769,0.29799093390936654
profession_embedding_4,0.05389606523643897,0.11424666333766341
profession_embedding_8,0.03211551928537859,0.06807715746251218
lex_emb_norm,0.02693371000925049,0.05709297119116381
C(tense),0.011099081959806467,0.023527377637984404
profession_embedding_1,0.008786676589948916,0.018625635801519016
C(syntactic_role),0.008250710280472195,0.017489516453093597
profession_embedding_3,0.004100113100508507,0.008691251188471518
"C(valence, Treatment(reference='-val'))",0.003293488677984402,0.006981401899181594
profession_embedding_5,0.0031940833371939537,0.006770686544481195
profession_embedding_10,0.0018235863004701924,0.003865563269285492
profession_embedding_6,0.0016507008131345646,0.0034990877208210124
log_frequency,0.001401639407252242,0.002971137591930993
profession_embedding_7,0.0002626261612332925,0.0005567041396149483
C(semantic_role),6.73943199642757e-05,0.00014285970877561785
"C(dominance, Treatment(reference='-dom'))",6.012570760738356e-05,0.00012745200312536578
