term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,1.800309397014065,0.17847148174271713,10.087378551657764,7.381897241923945e-24,1.4504857410443344,2.1501330529837954
C(tense)[T.past perfect],0.052999185790806314,0.020871811248799603,2.5392710368562024,0.011117586218816275,0.012088149212475356,0.09391022236913726
C(tense)[T.present continuous],0.08013989167224314,0.020871811248799475,3.839623246729615,0.00012368921112608497,0.03922885509391243,0.12105092825057384
C(tense)[T.present perfect],0.07405210375028418,0.020871811248799412,3.547948132893536,0.0003893356904555243,0.033141067171953593,0.11496314032861477
C(tense)[T.simple future],0.4402196439146784,0.02087181124879946,21.091588011557917,1.8987900747239594e-97,0.3993086073363477,0.48113068049300906
C(tense)[T.simple past],-0.02235635976150793,0.02087181124879946,-1.0711269613840466,0.2841282081459026,-0.0632673963398386,0.01855467681682275
C(semantic_role)[T.patient],0.02152159565993525,0.012050345842969424,1.7859732774799713,0.07412217035016266,-0.002098402321390587,0.04514159364126109
C(syntactic_role)[T.subject],-0.07527187955976883,0.012050345842969426,-6.24644973187097,4.303006906189615e-10,-0.09889187754109467,-0.051651881578442985
"C(valence, Treatment(reference='-val'))[T.+val]",-0.03031053148486501,0.012050345842969426,-2.5153246122433233,0.011901821297130032,-0.053930529466190855,-0.006690533503539171
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.08588263870746414,0.01205034584296944,7.126985385035305,1.068885128686291e-12,0.06226264072613827,0.10950263668879001
log_frequency,-0.2797361183918658,0.007967765196123232,-35.108479166526294,2.256762081643845e-260,-0.2953538110540154,-0.26411842572971617
lex_emb_norm,-0.17215429690289297,0.006634300827491505,-25.94912431307192,1.652520763311893e-145,-0.18515825331998476,-0.15915034048580118
profession_embedding_1,0.12647148833140662,0.18471539895578212,0.6846829720010612,0.49355373276832604,-0.23559092940417045,0.48853390606698366
profession_embedding_2,-4.9729952860257605,0.04536571159625725,-109.62013183622234,0.0,-5.061917050619776,-4.884073521431745
profession_embedding_3,-0.9726250615848968,0.10385314870006815,-9.36538827911588,8.545356754312831e-21,-1.1761886102677017,-0.7690615129020919
profession_embedding_4,-3.10521449702018,0.1401470590250805,-22.156829537639283,3.4116758626659447e-107,-3.3799180859792037,-2.830510908061156
profession_embedding_5,-0.575769321780033,0.1809728569650077,-3.1815230827204206,0.0014677752152048016,-0.9304959472139565,-0.22104269634610957
profession_embedding_6,-0.7139302762909165,0.1796371132084337,-3.974291634616396,7.08931208280132e-05,-1.0660386976297058,-0.3618218549521273
profession_embedding_7,4.214407210004125,0.1900790018101763,22.171871536935317,2.466762796150717e-107,3.841831543085136,4.586982876923114
profession_embedding_8,-1.2674984780618304,0.22429145589583752,-5.651122433528923,1.6207006115730912e-08,-1.707134303002009,-0.8278626531216517
profession_embedding_9,-14.124501669698786,0.2850741957599511,-49.54675617709164,0.0,-14.683278323590978,-13.565725015806594
profession_embedding_10,10.13430820902029,0.267294440551309,37.91439952180726,1.5783384765329447e-301,9.610381823129462,10.658234594911118
