profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.3500298818711297,-0.0056783111513066505,-0.12349644378667025
carpenter,1.8956188347125815,0.18510386835070017,-0.11478499936397231
cashier,-0.5778681423726416,-0.06646080556340571,-0.0050388648708916866
ceo,0.8418830620399022,0.17207786050920484,-0.2223386210852219
cleaner,-0.6620982696949148,-0.035503662712286665,0.09128892944118377
cook,-0.20260511645383109,-0.001933016126711663,0.56584175619025
designer,-0.10994536949491554,-0.019979582386969015,0.24818957844475845
driver,1.0844637895671636,0.09010051963670372,-0.2872224426081103
lawyer,0.4447945171773136,0.04855599971930095,-0.08618260849405986
manager,0.45315297841660945,0.09451692361447261,-0.10429539611912884
receptionist,-1.6144588554625223,-0.20197747812779226,-0.1136188442556496
salesperson,0.7345913110284962,0.05125120439985779,-0.44670129941750036
secretary,-1.8693437445588426,-0.25162671786636115,0.4669707125698532
teacher,-0.768214876847069,-0.05844680230361238,0.13138854336441222
