term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.028844124930227,0.08117833828173705,12.673875158167524,8.253414311850484e-37,0.8697375055732132,1.1879507442872406
C(tense)[T.past perfect],0.04106924874443749,0.10813857090883554,0.37978353513715524,0.7041061053064255,-0.170878455576511,0.25301695306538596
C(tense)[T.present continuous],0.07058236258371996,0.10813857090883455,0.6527029346746585,0.5139478101904247,-0.1413653417372266,0.2825300669046665
C(tense)[T.present perfect],0.18157610212055017,0.10813857090883487,1.679105804658969,0.09313142515328846,-0.030371602200397002,0.3935238064414973
C(tense)[T.simple future],0.6221919468471064,0.108138570908835,5.753654238427456,8.733469206524455e-09,0.410244242526159,0.8341396511680539
C(tense)[T.simple past],0.01533900669644558,0.10813857090883501,0.1418458424920092,0.8872017730596288,-0.19660869762450187,0.22728671101739303
C(valence)[T.-val],0.029516601562521224,0.08829477341347494,0.3342961357893536,0.7381561060763111,-0.14353797435101434,0.2025711774760568
C(dominance)[T.-dom],0.043775721958719864,0.08829477341347475,0.4957906370485029,0.6200421314370056,-0.12927885395481534,0.21683029787225508
C(syntactic_role)[T.subject],-0.2231763567243328,0.0883470775586958,-2.5261317396272616,0.011532622608356254,-0.3963334468787434,-0.0500192665699222
C(tense)[T.past perfect]:C(valence)[T.-val],0.08145664760043299,0.10813857090883572,0.7532617355291624,0.4512926477817286,-0.13049105672051586,0.2934043519213818
C(tense)[T.present continuous]:C(valence)[T.-val],0.024685668945302927,0.10813857090883539,0.22827811333029185,0.8194300384208799,-0.18726203537564523,0.2366333732662511
C(tense)[T.present perfect]:C(valence)[T.-val],0.07138541085378419,0.10813857090883551,0.6601290386384384,0.5091710252122541,-0.14056229346716423,0.2833331151747326
C(tense)[T.simple future]:C(valence)[T.-val],0.16337454659597386,0.10813857090883561,1.5107888445622608,0.13084225779909406,-0.04857315772497475,0.3753222509169225
C(tense)[T.simple past]:C(valence)[T.-val],0.08559221540177356,0.10813857090883558,0.7915049614806788,0.42864938204693037,-0.126355488919175,0.2975399197227221
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.017610386439722507,0.10813857090883572,0.16285018649422164,0.8706363925471403,-0.19433731788122632,0.22955809076067135
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.10224565778460372,0.10813857090883534,-0.945505908995232,0.34440065552498456,-0.3141933621055518,0.10970204653634437
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.022112601143979546,0.10813857090883544,-0.20448394091152947,0.8379753401672411,-0.23406030546492784,0.18983510317696872
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14945504324777067,0.10813857090883558,-1.3820697091860614,0.16695029811701267,-0.36140274756871926,0.062492661073177885
C(tense)[T.simple past]:C(dominance)[T.-dom],0.012190464564724137,0.10813857090883557,0.11273003205305077,0.9102445908720431,-0.1997572397562244,0.22413816888567267
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.004669189453117102,0.10813857090883558,0.043177835751624496,0.965559773116115,-0.20727851486783147,0.21661689377406565
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.04478628976003812,0.10813857090883545,0.41415647889220314,0.6787595123824932,-0.1671614145609102,0.2567339940809864
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.0772072928292473,0.10813857090883541,-0.7139662766057427,0.47524803280185124,-0.28915499715019555,0.1347404114917009
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.14817940848214445,0.10813857090883539,-1.370273411575458,0.1706015696366442,-0.3601271128030926,0.06376829583880372
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11198817661829548,0.10813857090883529,1.0355988217442373,0.3003893419045315,-0.0999595277026525,0.32393588093924347
C(valence)[T.-val]:C(dominance)[T.-dom],-0.08339843750001438,0.06243383302399775,-1.3357891620711233,0.18161819639218812,-0.20576650164383742,0.03896962664380865
C(valence)[T.-val]:C(syntactic_role)[T.subject],-0.03547014508928529,0.06243383302399789,-0.5681237779466707,0.5699509230780491,-0.1578382092331086,0.08689791905453803
C(dominance)[T.-dom]:C(syntactic_role)[T.subject],0.00020839146205985996,0.062433833023997805,0.0033377970239270773,0.9973368282325326,-0.12215967268176328,0.12257645560588301
