profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.4483263208924269,0.053166925431782065,0.04132662760821779
carpenter,2.0365016194450756,0.03331032520197685,-0.18088548974250362
cashier,-0.2364996394539325,0.011143995354473224,-0.012684656179081879
ceo,-0.6991365660762121,-0.03290398259633325,-0.09764118639931312
cleaner,-0.013211018065768697,-0.02354312674081278,-0.18615455549170937
cook,-0.323615683372717,-0.028728127542828472,-0.06763562048833338
designer,-0.12732674706958086,0.030003405678111297,0.11676746282309514
driver,1.4108481373011637,-0.05092843435770422,0.1474552707787172
lawyer,0.3553546792460842,0.054357365927040886,-0.045562492180936394
manager,0.6010910695780379,0.036389307311052076,0.4364421134612144
receptionist,-1.628449451075452,0.055511097417742974,-0.15469603443992305
salesperson,-0.2646139762145525,0.018032399196074623,0.20925484175831538
secretary,-0.8115938716715441,-0.18677399360408167,-0.19611435102025704
teacher,-0.7476748733871805,0.030962843324639933,-0.00987193048217894
