term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3648394630068692,0.0853060615360855,15.999325703596403,1.2916645610470302e-57,1.197642654733184,1.5320362712805544
C(tense)[T.past perfect],0.05810634068081552,0.10486473832726252,0.5541075256343738,0.5795052600768407,-0.14742476968883605,0.2636374510504671
C(tense)[T.present continuous],0.198621477399556,0.10486473832726251,1.894073075161804,0.05821531099403184,-0.006909632970095558,0.40415258776920754
C(tense)[T.present perfect],0.12495029994420083,0.10486473832726238,1.1915378032437876,0.23344252526544906,-0.08058081042545047,0.33048141031385214
C(tense)[T.simple future],0.5248548235212115,0.10486473832726266,5.005064923570787,5.584320633019533e-07,0.3193237131515596,0.7303859338908634
C(tense)[T.simple past],-0.02784816196985218,0.10486473832726248,-0.2655626897474676,0.7905760233029702,-0.23337927233950367,0.1776829483997993
C(valence)[T.-val],0.07694266183036019,0.08562170030409,0.8986350604705846,0.3688470773615632,-0.0908727870607384,0.24475811072145878
C(dominance)[T.-dom],0.007653953915549981,0.0856217003040899,0.08939268769910627,0.9287698345778692,-0.1601614949755484,0.17546940280664838
C(syntactic_role)[T.subject],-0.15961957659037862,0.10993513837459518,-1.4519431998756185,0.14651739933979546,-0.3750884884400124,0.055849335259255145
C(tense)[T.past perfect]:C(valence)[T.-val],-0.07115565708706176,0.10486473832726144,-0.6785470332744213,0.4974249131407963,-0.27668676745671117,0.13437545328258768
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06482369559151643,0.10486473832726154,-0.6181648533677245,0.5364666755344462,-0.27035480596116607,0.1407074147781332
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06038861955915258,0.1048647383272615,-0.5758715515094501,0.5647020058126757,-0.26591972992880214,0.14514249081049696
C(tense)[T.simple future]:C(valence)[T.-val],0.04965645926339116,0.1048647383272615,0.4735286623080436,0.6358360571026983,-0.1558746511062584,0.25518756963304073
C(tense)[T.simple past]:C(valence)[T.-val],-0.05859592982701861,0.10486473832726151,-0.5587762937447347,0.5763144032775135,-0.2641270401966682,0.14693518054263097
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0798618861607255,0.10486473832726145,-0.7615704519425094,0.4463164157447196,-0.285392996530375,0.12566922420892396
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.11133510044643047,0.10486473832726152,-1.061701981260624,0.28837099963334845,-0.3168662108160801,0.09419600992321914
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09779793875558337,0.10486473832726148,-0.9326103351383563,0.3510211952153244,-0.3033290491252329,0.10773317161406615
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.21883370535714694,0.10486473832726147,-2.0868187805343257,0.03690451882204549,-0.4243648157267964,-0.013302594987497446
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.05517708914621771,0.10486473832726148,-0.526173907705956,0.5987673811981886,-0.2607081995158672,0.1503540212234318
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821973,0.10486473832726148,0.6076798728029008,0.5433998146585989,-0.1418069195214298,0.2692553012178692
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026826,0.10486473832726166,0.9402641215062766,0.3470820983262236,-0.10693055930938163,0.30413166142991815
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14757559640067044,0.10486473832726144,1.407294756604619,0.15934000350594246,-0.057955513968978994,0.35310670677031986
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.22799595424107108,0.10486473832726168,2.1741908469703297,0.029690805489413503,0.02246484387142117,0.433527064610721
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07929643903460452,0.10486473832726136,0.7561782950064357,0.449542304369114,-0.1262346713350448,0.2848275494042538
C(valence)[T.-val]:C(dominance)[T.-dom],-0.023900204613095045,0.06054368490174411,-0.3947596624137184,0.6930202668773235,-0.14256364651185494,0.09476323728566485
C(valence)[T.-val]:C(syntactic_role)[T.subject],-0.08453311011905097,0.060543684901744006,-1.3962333190693508,0.16264424624614193,-0.20319655201781067,0.03413033177970873
C(dominance)[T.-dom]:C(syntactic_role)[T.subject],0.03405616396950236,0.06054368490174394,0.5625056358028414,0.5737715648951836,-0.08460727792925721,0.15271960586826192
