,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.35070424927241156,-0.006832427593868671,-0.12362314292431052
carpenter,1.8961187046472907,0.18413837416493434,-0.11470268410165894
cashier,-0.5778719517642555,-0.06640287280172653,-0.005114649667422555
ceo,0.8408505711122818,0.17410953470285834,-0.22240367056817373
cleaner,-0.6626951379352021,-0.034437500036311464,0.0913391868462645
cook,-0.20299236880382515,-0.0017214402466542778,0.5664289317235807
designer,-0.1098775822856292,-0.020321587478979976,0.24843003862674015
driver,1.0850065022609148,0.08927861998838837,-0.28742139153829216
lawyer,0.44484742933708005,0.04850172872319246,-0.0862209705738518
manager,0.4525680531384817,0.0956500585182102,-0.10431263615509499
receptionist,-1.6142231781179346,-0.20217729062716583,-0.1139491093643387
salesperson,0.7351344703015722,0.05060196321775521,-0.4471089522185642
secretary,-1.8689042579578237,-0.25270985341267554,0.46720047760914196
teacher,-0.7686655033041233,-0.05767730712929233,0.13145857231876848
