,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.35072314421242645,-0.006863645231428902,-0.12362809123277796
carpenter,1.896128927138271,0.18411756065856838,-0.11469981704805453
cashier,-0.5778705295225328,-0.0664035280164694,-0.005117337379149336
ceo,0.840824012588062,0.17415893079261335,-0.2224022897844422
cleaner,-0.6627107204107038,-0.03441039194346374,0.09134147214525797
cook,-0.20301023322212483,-0.0017030629027144609,0.566446541955371
designer,-0.10987901355557547,-0.020324695145064856,0.2484366802163631
driver,1.0850223540066057,0.08925447676840485,-0.2874274347670934
lawyer,0.4448489475041253,0.04849980810501335,-0.08622179863918715
manager,0.4525527598494126,0.09567802801741938,-0.10431131226538563
receptionist,-1.6142112098016903,-0.20219075703844255,-0.11396061571153632
salesperson,0.7351534749063121,0.050577151070350525,-0.44712130429089797
secretary,-1.8688944346536778,-0.2527327063688155,0.46720432978757165
teacher,-0.7686774790919505,-0.05765716877206503,0.13146097702084078
