,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.3506812337384969,-0.006793964073237573,-0.1236176336611884
carpenter,1.8961052758301329,0.1841653902340248,-0.11470607241575387
cashier,-0.5778732779068021,-0.06640264731383569,-0.005111566608155599
ceo,0.8408838545325663,0.17404703971004476,-0.22240476531331413
cleaner,-0.6626758437076308,-0.03447135929759411,0.09133672043923101
cook,-0.20297282506079636,-0.001740562411485759,0.5664085576464474
designer,-0.10987691066119554,-0.02031604019661676,0.24842226048505592
driver,1.0849875047500446,0.08930778440047733,-0.2874144858372584
lawyer,0.44484564707404756,0.0485039427942723,-0.08621998923468564
manager,0.4525871288138557,0.09561480339286452,-0.1043138896290541
receptionist,-1.6142362930968115,-0.2021628314971665,-0.11393594274409276
salesperson,0.735112577923135,0.05063048855948162,-0.44709472552321516
secretary,-1.8689172905122122,-0.2526797703593011,0.4671956373234207
teacher,-0.7686507817030175,-0.05770227394031969,0.13145589507133099
