term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.2749436151397935,0.2694332810886733,4.731945548776493,2.2237807290599806e-06,0.746864087969537,1.80302314231005
C(tense)[T.past perfect],-0.05919974190848682,0.035327290767052384,-1.6757509739099161,0.09378698073869648,-0.12843995948328388,0.01004047566631023
C(tense)[T.present continuous],0.08765345982142367,0.0353272907670524,2.481182618826029,0.013094726611973004,0.01841324224662659,0.15689367739622073
C(tense)[T.present perfect],-0.003861781529022479,0.0353272907670524,-0.10931439816562798,0.9129531269477984,-0.07310199910381955,0.0653784360457746
C(tense)[T.simple future],0.33860822405133495,0.03532729076705237,9.584890794035482,9.25555062228976e-22,0.2693680064765379,0.407848441626132
C(tense)[T.simple past],0.039101736886156625,0.03532729076705235,1.1068422184988065,0.26836215139157804,-0.030138480688640355,0.1083419544609536
C(syntactic_role)[T.subject],-0.27688947405114345,0.07890273846181656,-3.5092504955976747,0.0004493714590824832,-0.4315359997178872,-0.1222429483843997
C(valence)[T.-val],-0.04386974516369221,0.02884461212473819,-1.5208991188364054,0.1282851551294415,-0.10040414607620643,0.012664655748822008
C(dominance)[T.-dom],0.015379115513388695,0.02884461212473819,0.533171167179572,0.5939150985186397,-0.041155285399125524,0.0719135164259029
C(semantic_role)[T.patient],0.1979509626114257,0.03866832875895741,5.119201397230567,3.068321621331356e-07,0.12216243090151477,0.2737394943213366
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.1008658272879456,0.035327290767052544,-2.8551815069276856,0.004301223951871985,-0.17010604486274297,-0.031625609713148234
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.12589721679687402,0.03532729076705255,-3.563738233623341,0.00036561056538414596,-0.19513743437167141,-0.056656999222076634
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.05287824358258858,0.035327290767052544,-1.4968100421644748,0.1344426925502176,-0.12211846115738595,0.01636197399220879
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.10905761718749912,0.03532729076705254,-3.087064272961743,0.0020214388420272573,-0.1782978347622965,-0.03981739961270177
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.023291887555804153,0.03532729076705254,0.6593171185809408,0.5096921519368546,-0.045948330018993205,0.0925321051306015
C(tense)[T.past perfect]:C(valence)[T.-val],0.09318934849330604,0.0353272907670528,2.637885512019421,0.008342474159301613,0.02394913091850817,0.1624295660681039
C(tense)[T.present continuous]:C(valence)[T.-val],-0.039562116350443884,0.0353272907670528,-1.1198740546314578,0.2627674360152522,-0.10880233392524175,0.029678101224353985
C(tense)[T.present perfect]:C(valence)[T.-val],0.08874075753348466,0.03532729076705278,2.5119604590864006,0.012006254040534563,0.019500539958686836,0.1579809751082825
C(tense)[T.simple future]:C(valence)[T.-val],0.028327287946430836,0.03532729076705277,0.8018528262815349,0.42263809674320485,-0.04091292962836698,0.09756750552122864
C(tense)[T.simple past]:C(valence)[T.-val],0.11464059012277007,0.03532729076705273,3.2450999675776795,0.0011740939844252043,0.04540037254797234,0.18388080769756782
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.09476754324776379,0.035327290767052794,-2.682559041185989,0.007306125413165484,-0.16400776082256163,-0.025527325672965936
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.05017874581472791,0.035327290767052794,-1.420396093932173,0.15549239934214137,-0.11941896338952576,0.019061471760069948
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09292428152901386,0.03532729076705277,-2.6303823336398517,0.008528888868250172,-0.16216449910381167,-0.023684063954216045
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10527343749999614,0.03532729076705277,-2.979946528992739,0.0028829870324055635,-0.17451365507479394,-0.036033219925198326
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.09560982840401423,0.03532729076705272,-2.7064013777468268,0.006801678179429206,-0.16485004597881192,-0.02636961082921653
C(syntactic_role)[T.subject]:C(valence)[T.-val],0.0664184570312496,0.020396220834098137,3.2564099776862627,0.001128307032587785,0.02644259877569175,0.10639431528680746
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.06103457496279819,0.020396220834098134,2.9924452897058944,0.0027675226676100017,0.021058716707240348,0.10101043321835604
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],-0.11452927362351165,0.02039622083409812,-5.615220317287563,1.9631194972069143e-08,-0.15450513187906945,-0.07455341536795383
C(valence)[T.-val]:C(semantic_role)[T.patient],0.03711344401041678,0.02039622083409815,1.8196235622420298,0.06881635093902005,-0.0028624142451410955,0.07708930226597466
C(dominance)[T.-dom]:C(semantic_role)[T.patient],-0.06117757161458265,0.020396220834098155,-2.99945622829827,0.0027046198239952307,-0.10115342987014053,-0.021201713359024765
