term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.056438409711642,0.3330442419887431,3.172066279852842,0.0015135845838268464,0.40368369015526306,1.7091931292680207
C(tense)[T.past perfect],0.05658918108259005,0.03837159483708281,1.4747675024417157,0.14027506097343648,-0.018617762827455336,0.13179612499263543
C(tense)[T.present continuous],0.08256116594587168,0.0383715948370828,2.1516219561998375,0.03142714140696299,0.007354222035826308,0.15776810985591705
C(tense)[T.present perfect],0.18614567347935307,0.038371594837082815,4.85113204884201,1.2275877841922609e-06,0.11093872956930767,0.26135261738939847
C(tense)[T.simple future],0.5522395542689733,0.03837159483708281,14.391884325206151,5.81886545514742e-47,0.4770326103589279,0.6274464981790187
C(tense)[T.simple past],0.04853864397321538,0.03837159483708282,1.2649629023578397,0.20588462665882856,-0.02666829993683003,0.12374558788326079
C(syntactic_role)[T.subject],-0.2230721609931144,0.053399626900474,-4.1774104790820985,2.948466483510419e-05,-0.32773350650591965,-0.11841081548030911
C(valence)[T.-val],-0.029156494140625804,0.028022650746291962,-1.0404616752568947,0.2981254605958895,-0.08407988035470251,0.025766892073450908
C(dominance)[T.-dom],-0.01733325776599745,0.02621278954046245,-0.6612519334976378,0.5084507610880005,-0.06870938119963209,0.03404286566763719
C(semantic_role)[T.patient],-0.013593546549535197,0.030535227430623216,-0.4451758736829476,0.656192660624999,-0.07344149257329623,0.04625439947422584
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.004669189453124009,0.034320597784318924,0.13604627409075493,0.8917846995721653,-0.06259794613202625,0.07193632503827428
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.04478628976004362,0.034320597784318924,1.3049390934707572,0.19191358803825065,-0.02248084582510665,0.11205342534519389
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.07720729282924182,0.034320597784318924,-2.249590561167843,0.024474948176891716,-0.1444744284143921,-0.009940157244091558
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1481794084821432,0.034320597784318924,-4.317506630081087,1.5780167008176306e-05,-0.21544654406729347,-0.08091227289699293
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11198817661830252,0.034320597784318924,3.2630019244440405,0.0011023877128535434,0.04472104103315225,0.17925531220345278
C(tense)[T.past perfect]:C(valence)[T.-val],0.08145664760044734,0.034320597784318944,2.3734041030504667,0.01762496914188242,0.014189512015297029,0.14872378318559765
C(tense)[T.present continuous]:C(valence)[T.-val],0.024685668945313283,0.034320597784318944,0.7192668700133232,0.47197650465389984,-0.04258146663983703,0.09195280453046359
C(tense)[T.present perfect]:C(valence)[T.-val],0.07138541085379571,0.03432059778431895,2.079958260121321,0.03752936150759042,0.004118275268645388,0.13865254643894603
C(tense)[T.simple future]:C(valence)[T.-val],0.16337454659598324,0.03432059778431895,4.7602476979765465,1.9335550974523872e-06,0.09610741101083292,0.23064168218113357
C(tense)[T.simple past]:C(valence)[T.-val],0.08559221540178649,0.034320597784318944,2.493902231530871,0.012634734036368018,0.018325079816636183,0.15285935098693681
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.017610386439732718,0.03432059778431896,0.5131142106090846,0.6078714316229488,-0.04965674914541762,0.08487752202488305
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.10224565778459781,0.03432059778431896,-2.979133942454631,0.002890643887006501,-0.16951279336974814,-0.03497852219944747
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.022112601143972566,0.034320597784318965,-0.6442953378299192,0.5193839382801901,-0.08937973672912292,0.045154534441177785
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14945504324776712,0.03432059778431896,-4.354674827839187,1.3326458820601745e-05,-0.21672217883291744,-0.08218790766261679
C(tense)[T.simple past]:C(dominance)[T.-dom],0.012190464564732564,0.03432059778431895,0.35519382970369984,0.7224443869358466,-0.05507667102041776,0.07945760014988289
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.031039864676339016,0.03432059778431928,-0.9044092084701627,0.3657784571418763,-0.09830700026148997,0.03622727090881195
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.023957606724330414,0.03432059778431927,-0.698053305332473,0.4851438585145351,-0.09122474230948135,0.04330952886082053
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.00913914271763356,0.03432059778431927,-0.26628739904434706,0.7900178769735962,-0.07640627830278451,0.05812799286751739
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.1399047851562503,0.03432059778431927,4.076408751253492,4.5736591594991464e-05,0.07263764957109935,0.20717192074140123
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0663992745535714,0.03432059778431928,-1.9346770988909914,0.05302993235155707,-0.13366641013872238,0.000867861031579556
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.035470145089285865,0.019815006369525504,-1.79006478361961,0.07344349737247206,-0.07430684392698762,0.003366553748415893
C(valence)[T.-val]:C(semantic_role)[T.patient],0.03394775390625082,0.019815006369525483,1.7132345694554416,0.08666939422887067,-0.004888944931450895,0.07278445274395254
C(dominance)[T.-dom]:C(semantic_role)[T.patient],0.039027913411458934,0.019815006369525493,1.969613972543655,0.048882629057684035,0.00019121457375719658,0.07786461224916066
