,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5914237175920039,0.007008349531735103,-0.1020813730163744
carpenter,2.755510963551827,0.08276471890999158,-0.15951032652561076
cashier,-1.0896480288859245,0.03988702568846848,-0.009124721422695955
ceo,0.7342850811033349,-0.007018084892010546,-0.08738178914030709
cleaner,-0.9362035210081978,-0.048002403307499525,0.3385486034156522
cook,-0.28122095791245716,0.03079390008392542,0.3542194254829042
designer,0.14134735501026707,0.0051744550172954755,-0.0037135915340704437
driver,1.125684606022701,-0.014019505371033763,-0.2430149680674584
lawyer,1.0376325373267112,0.03663889580984507,0.03989748703995027
manager,0.4028933289274657,-0.00566491467409467,-0.20134584878042636
receptionist,-1.8217473735023038,-0.0441723158297735,0.09383572585473723
salesperson,0.33236627008465025,-0.008123669527332358,-0.09426244128722801
secretary,-1.9980164162813199,-0.01889760212801221,0.028470158447235976
teacher,-0.994307561987702,-0.056368849310701,0.045463659530951814
