,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5914089269881692,0.007012600025883698,-0.10205646799304388
carpenter,2.7555905971864605,0.08259492576141075,-0.1595037221941226
cashier,-1.0895112277795387,0.039586919932378575,-0.009092881895106831
ceo,0.734232388594291,-0.006929168458366243,-0.08736696353190578
cleaner,-0.9362532239833198,-0.0477979994180339,0.3384406113179755
cook,-0.2811047583273737,0.030678537910495046,0.3541001467055016
designer,0.14135407034808098,0.005161988014148946,-0.0037147749829937447
driver,1.1255863247802176,-0.013886295533000305,-0.24295290769485015
lawyer,1.037684542390435,0.03656567024787157,0.03986420030340835
manager,0.4028464675321938,-0.0056340300876188435,-0.20128207663327735
receptionist,-1.8217756815239028,-0.04411359353529355,0.09383677611692763
salesperson,0.33232567353979886,-0.008068806491802473,-0.094236371282411
secretary,-1.9979829732293442,-0.018990500975845762,0.028501733786663486
teacher,-0.9944011263583372,-0.05618024738913271,0.045462697966829314
