,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5914129393267461,0.007015906505011937,-0.10206778731665653
carpenter,2.755541837329775,0.08269311139968324,-0.15950269293481545
cashier,-1.0895662642103374,0.039713658772737026,-0.009111490274981081
ceo,0.7342524096628957,-0.0069629447909928446,-0.08737277601218033
cleaner,-0.9362279984962317,-0.04789945039288483,0.3384932041842563
cook,-0.28115659705018925,0.030725561792550284,0.3541585336103556
designer,0.14135038019221113,0.005168678725763228,-0.0037139776054618654
driver,1.1256253161936651,-0.013935850289869912,-0.24298135636999374
lawyer,1.0376559233652831,0.036606054312401846,0.03988232203479052
manager,0.4028661666607953,-0.005643348716192698,-0.20131294367838826
receptionist,-1.8217541878836077,-0.04415436450418357,0.09383324649877682
salesperson,0.3323424333157692,-0.008090245118571426,-0.09424857065286105
secretary,-1.9979876503922327,-0.018963968647949123,0.028482287703491586
teacher,-0.9943547079401109,-0.056272799046076995,0.04546200080850697
