,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.6175196432201719,0.01599602615384444,-0.03733830672873086
carpenter,2.4491911485278437,0.17385539292155502,-0.021921630881198455
cashier,-0.9265615841561017,-0.03623359643834023,0.17875650339980184
ceo,0.37034539326476734,0.09644088881959734,0.03787751024454733
cleaner,-0.605511651774856,-0.10027309812861553,-0.15700038145903183
cook,-0.15164844947179582,0.015253240773753677,0.14131092306446874
designer,-0.02642873105476133,0.038330766225640946,0.16975383068358013
driver,1.2066105922263792,0.021745422079465775,-0.1199932549011961
lawyer,1.0213622273551843,-0.025792442478978925,-0.3451297452874569
manager,0.3814087022608375,0.004918301789249166,0.022767077737449695
receptionist,-1.9296121258499748,-0.05267001833867759,0.008369907926837138
salesperson,0.044375951266766925,-0.011170613924561753,0.07407122467541528
secretary,-1.6729156436135457,-0.07626227776089414,-0.031708859585196286
teacher,-0.7781354722477735,-0.06413799169539462,0.08018520111216483
