term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.1158608572934963,0.3000937198604411,3.718374572491649,0.0002005088069402907,0.5276879743803794,1.7040337402066132
C(tense)[T.past perfect],-0.03917585100446946,0.028286392074917295,-1.3849716464620558,0.16606113735459993,-0.09461616072388657,0.016264458714947652
C(tense)[T.present continuous],-0.14027012416295212,0.02828639207491731,-4.958925966642997,7.088397147471559e-07,-0.19571043388236925,-0.08482981444353499
C(tense)[T.present perfect],-0.14627947126116606,0.028286392074917326,-5.171372541034596,2.3238075397696851e-07,-0.20171978098058324,-0.09083916154174888
C(tense)[T.simple future],0.18847743443079812,0.02828639207491732,6.663183976648922,2.679578767921853e-11,0.13303712471138096,0.24391774415021528
C(tense)[T.simple past],-0.14503522600446933,0.028286392074917326,-5.127385126400686,2.937941295092509e-07,-0.2004755357238865,-0.08959491628505216
C(syntactic_role)[T.subject],-0.44367210751521546,0.04359508773858505,-10.177112388800884,2.508961591179721e-24,-0.5291169093857059,-0.35822730564472505
C(valence)[T.-val],0.15008777436755194,0.024496734118285075,6.126848323651521,8.96368459191655e-10,0.10207505775685963,0.19810049097824425
C(dominance)[T.-dom],0.14199654715401622,0.01414319603745853,10.039919320776972,1.0175735052388857e-23,0.11427639229430789,0.16971670201372455
C(semantic_role)[T.patient],-0.12022821335509551,0.031366451358406745,-3.8330192976347734,0.00012658001949239581,-0.18170532834040018,-0.05875109836979083
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.03381609235491267,0.028286392074917257,1.1954897699695972,0.23189573079727654,-0.021624217364504365,0.0892564020743297
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.13520420619419884,0.028286392074917257,4.779832148126453,1.7544160550538903e-06,0.07976389647478181,0.19064451591361586
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14495413643973423,0.02828639207491727,5.1245183923004145,2.982992317162294e-07,0.08951382672031717,0.2003944461591513
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.20775146484375195,0.028286392074917264,7.344572764653642,2.0641737331900124e-13,0.1523111551243349,0.263191774563169
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.10528128487723408,0.028286392074917264,3.7219764400632567,0.00019766947029569066,0.04984097515781703,0.16072159459665114
C(tense)[T.past perfect]:C(valence)[T.-val],0.01714477539063125,0.028286392074917163,0.6061138990516329,0.5444391220313268,-0.0382955343287856,0.0725850851100481
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06981462751115419,0.028286392074917163,-2.4681347598608028,0.013581917744285535,-0.12525493723057105,-0.01437431779173734
C(tense)[T.present perfect]:C(valence)[T.-val],0.04023175920759573,0.02828639207491717,1.4223008399601114,0.1549389351650549,-0.015208550511821135,0.0956720689270126
C(tense)[T.simple future]:C(valence)[T.-val],0.026911272321435,0.02828639207491717,0.9513858200847908,0.3414085558761748,-0.028529037397981866,0.08235158204085187
C(tense)[T.simple past]:C(valence)[T.-val],0.10798252650670258,0.028286392074917205,3.8174725932069458,0.00013482575882444318,0.05254221678728565,0.1634228362261195
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.04462454659598202,0.028286392074917156,1.5775976829350626,0.11465806503686864,-0.010815763123434817,0.10006485631539885
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.0036315917968750386,0.028286392074917167,-0.1283865325509412,0.8978430884223859,-0.0590719015162919,0.05180871792254182
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.0448965890066963,0.028286392074917167,1.587215113464688,0.11246393293301551,-0.010543720712720563,0.10033689872611315
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.022987583705357015,0.02828639207491716,0.8126728797534118,0.41640563432383415,-0.03245272601405983,0.07842789342477385
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.0022521972656248286,0.02828639207491715,0.07962122775007266,0.9365385115121685,-0.053188112453792,0.05769250698504165
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.0926757812499991,0.01633115607885671,-5.674783879506406,1.3886385798473756e-08,-0.12468425899046062,-0.060667303509537585
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],-0.028589448474702628,0.016331156078856726,-1.7506077546902026,0.0800134985927726,-0.06059792621516418,0.003419029265758926
C(valence)[T.-val]:C(dominance)[T.-dom],-0.20159040178571247,0.016331156078856674,-12.34391495692726,5.253775262145086e-35,-0.23359887952617392,-0.16958192404525102
C(valence)[T.-val]:C(semantic_role)[T.patient],0.038557361421131676,0.016331156078856702,2.3609695011763656,0.018227229575917176,0.006548883680670171,0.07056583916159317
C(dominance)[T.-dom]:C(semantic_role)[T.patient],0.0362240745907743,0.0163311560788567,2.2180961602389053,0.026548276578896305,0.004215596850312801,0.06823255233123579
