,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.6175205937364404,0.015994105003338782,-0.037338159819132855
carpenter,2.4491872787481896,0.17386328691999647,-0.021921634824788715
cashier,-0.9265609964807554,-0.036237996760444445,0.1787597864474387
ceo,0.3703396213157493,0.09645352541190166,0.03787615675608634
cleaner,-0.6055075589366978,-0.10027915339409821,-0.1570025146490654
cook,-0.15164906880498596,0.015251921512638253,0.14131355737068443
designer,-0.026430415987429425,0.03833130081833737,0.16975672518135584
driver,1.2066127986591142,0.021741804057572697,-0.1199938270116636
lawyer,1.0213655046327843,-0.02579385791335735,-0.3451348503302099
manager,0.3814100724468053,0.004914322024370135,0.022768490114721634
receptionist,-1.9296158088586715,-0.0526601094117094,0.008366816299964707
salesperson,0.04437764774389485,-0.011176180008656788,0.0740735852879521
secretary,-1.6729167536154894,-0.07625782356794604,-0.03171147796365689
teacher,-0.7781329146331873,-0.06414514469367047,0.08018734714127429
