,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.4481528768409672,0.05354214478635742,0.04130567129349225
carpenter,2.03659007850956,0.033594902445698384,-0.1812993467307486
cashier,-0.23655746515798046,0.011264746710750062,-0.012694876257688465
ceo,-0.6990449929874616,-0.03304422994490769,-0.0976960903416296
cleaner,-0.013075524400576303,-0.02357946887401409,-0.18638445709016715
cook,-0.323516861990487,-0.028886337439600066,-0.06767972831986453
designer,-0.1274799510706017,0.030162922118683853,0.11690804146637791
driver,1.411116161880666,-0.051580478771674244,0.14759970316552523
lawyer,0.35519171345970546,0.05482335428463502,-0.045695158923364225
manager,0.6008905230968592,0.03627662210771338,0.43695763101117074
receptionist,-1.6287505655187426,0.05622322533278915,-0.15483904022231007
salesperson,-0.2647575047625114,0.018023212995512024,0.20953990491278576
secretary,-0.8109089651493561,-0.18810386067946097,-0.1961624260282325
teacher,-0.747849522742854,0.03128324492761478,-0.009859827934978407
