term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,0.7517234797848802,0.2421771316993958,3.104023383669283,0.0019090824186194187,0.2770650237748509,1.2263819357949095
C(tense)[T.past perfect],0.03163002074610939,0.026359699971293733,1.19993857215959,0.23016319818269904,-0.020034041840907825,0.0832940833331266
C(tense)[T.present continuous],0.08672632209085683,0.026359699971293733,3.2901103648866874,0.0010014809396408002,0.035062259503839614,0.13839038467787404
C(tense)[T.present perfect],-0.15002417381516045,0.026359699971293744,-5.691421904594509,1.2598577635787263e-08,-0.2016882364021777,-0.09836011122814321
C(tense)[T.simple future],0.13233153745625695,0.026359699971293744,5.020221686907238,5.161188023090093e-07,0.08066747486923971,0.1839956000432742
C(tense)[T.simple past],0.013354175601905865,0.0263596999712937,0.5066133384085881,0.6124261475447959,-0.038309886985111286,0.06501823818892301
C(syntactic_role)[T.subject],-0.05077084854815147,0.050522242219623655,-1.00492073030819,0.31493502146275376,-0.14979262371682278,0.04825092662051985
C(valence)[T.-val],0.2127279403324979,0.019250403044460913,11.050570725255955,2.1782564195329665e-28,0.17499784367747429,0.2504580369875215
C(dominance)[T.-dom],0.10834531692075741,0.019250403044460893,5.628210311780078,1.820889930746956e-08,0.07061522026573386,0.14607541357578097
C(semantic_role)[T.patient],-0.151541143022491,0.026221499880945517,-5.779270587515553,7.502517953947593e-09,-0.20293433840976552,-0.10014794763521648
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.11337657044662515,0.023576832400924758,4.808812673333427,1.5182940127238604e-06,0.06716682807127561,0.1595863128219747
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.004318283476459748,0.023576832400924758,0.1831579154920901,0.854674114288848,-0.04189145889888979,0.05052802585180928
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.09154945550503162,0.02357683240092475,3.883026097324286,0.00010316449078290087,0.045339713129682095,0.13775919788038113
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.04047900809112287,0.023576832400924744,-1.716897647774566,0.08599787476712979,-0.08668875046647237,0.0057307342842266365
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.05680631139413328,0.02357683240092473,-2.4094123599023094,0.0159782331296256,-0.10301605376948277,-0.010596569018783794
C(tense)[T.past perfect]:C(valence)[T.-val],-0.06259175977424475,0.023576832400924546,-2.654799368713766,0.007935559071577239,-0.10880150214959387,-0.016382017398895624
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03460154619388184,0.023576832400924546,-1.4676079299153422,0.14221075273541053,-0.08081128856923096,0.011608196181467287
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06689251936747759,0.023576832400924532,-2.8372140171321103,0.004550909567845413,-0.11310226174282668,-0.02068277699212849
C(tense)[T.simple future]:C(valence)[T.-val],0.04017710019813393,0.023576832400924532,1.7040923697857921,0.08836383189677743,-0.006032642177215164,0.08638684257348303
C(tense)[T.simple past]:C(valence)[T.-val],-0.032770934175539224,0.023576832400924508,-1.3899634021343,0.16453999100450134,-0.07898067655088828,0.013438808199809825
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.014718319021838289,0.023576832400924536,0.6242704181610558,0.5324500078102428,-0.031491423353510815,0.06092806139718739
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.01986252887519653,0.02357683240092454,-0.8424596034545185,0.39953074234204755,-0.06607227125054564,0.02634721350015258
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.06668199869330185,0.023576832400924518,-2.828284884049439,0.004679814071424908,-0.11289174106865092,-0.020472256317952783
C(tense)[T.simple future]:C(dominance)[T.-dom],0.03193007636270561,0.023576832400924518,1.3542988226634523,0.17564106162600557,-0.014279666012643459,0.07813981873805467
C(tense)[T.simple past]:C(dominance)[T.-dom],0.04761890981743347,0.023576832400924497,2.019733143438142,0.043411075268352826,0.0014091674420844413,0.0938286521927825
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.0007275329364344478,0.023576832400924615,-0.030857959375658797,0.9753828175011608,-0.046937275311783704,0.04548220943891481
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012003575376625608,0.02357683240092462,-0.5091258729122093,0.6106639974819925,-0.05821331775197487,0.034206166998723656
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.024637256943970273,0.02357683240092463,1.04497739666691,0.2960334164232661,-0.02157248543137901,0.07084699931931956
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.02623874070268339,0.02357683240092463,-1.1129035595831087,0.2657498511182964,-0.07244848307803267,0.019971001672665894
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.039031590746786395,0.02357683240092461,1.6555061376801279,0.09782187244956869,-0.007178151628562848,0.08524133312213564
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.030685314229499636,0.013612090533312504,-2.2542690378384047,0.024179247922390092,-0.057364521429090765,-0.0040061070299085115
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],0.06189754407203603,0.013612090533312495,4.5472474577329525,5.4352078915571935e-06,0.035218336872444925,0.08857675127162713
C(valence)[T.-val]:C(dominance)[T.-dom],-0.18709879780851374,0.013612090533312493,-13.745045064946638,5.453908651652706e-43,-0.21377800500810484,-0.16041959060892264
C(dominance)[T.-dom]:C(semantic_role)[T.patient],0.017287167861199618,0.013612090533312493,1.2699862536833126,0.20408952673593017,-0.009392039338391486,0.04396637506079072
