,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.44824778633280987,0.05333279922309753,0.04132170789362265
carpenter,2.0365544776345264,0.03340970787366958,-0.1810663472081007
cashier,-0.23652587421792068,0.011196302983934576,-0.012687131415657173
ceo,-0.6990934137946172,-0.03297184836779436,-0.09766594742077882
cleaner,-0.013142600866396766,-0.02357663140379648,-0.1862557201728023
cook,-0.32356938293693716,-0.028802349717622616,-0.06765651389918505
designer,-0.12740079485625377,0.030084527806327855,0.11683137681103276
driver,1.4109671170172116,-0.05120387005917329,0.14750750660394776
lawyer,0.35528404931942215,0.05455488934516187,-0.04561497957317935
manager,0.600985079747961,0.03637948859365771,0.4366654241373583
receptionist,-1.6285836787084984,0.05581283903688335,-0.1547464840530945
salesperson,-0.2646877241913295,0.018049272325271634,0.20938002158860722
secretary,-0.8112797073114023,-0.18736946803579052,-0.19615179343895434
teacher,-0.7477553330698995,0.031104340397574433,-0.009861119846287887
