,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.4481722535113264,0.05349799614746697,0.041310427927253174
carpenter,2.0365908106403654,0.03354004397595632,-0.1812498090738304
cashier,-0.23655144730315328,0.01124989280831481,-0.012691639146395046
ceo,-0.6990546304676318,-0.033032026018229986,-0.09768799147206385
cleaner,-0.013085771465010795,-0.023588763316345,-0.18635498761237385
cook,-0.32352697711759976,-0.028870984448100108,-0.06767443487172652
designer,-0.12746639087529257,0.030152553267874756,0.11689175727498331
driver,1.411086922181884,-0.05149487860038956,0.14757022653398782
lawyer,0.3552118766989498,0.05476203594445322,-0.04567477947352267
manager,0.6009032760645239,0.03632060746845333,0.4368878421435505
receptionist,-1.6287181204491763,0.056130500090931984,-0.154808466337943
salesperson,-0.26474776232497504,0.01804069155516682,0.2095037824776923
secretary,-0.81098187167353,-0.18795366166796373,-0.19616600801210177
teacher,-0.7478321674004346,0.03124599279271613,-0.00985592035627541
