term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3042229061897268,0.31267443186253546,4.171185019576902,3.030196966518732e-05,0.6913922808526342,1.9170535315268196
C(tense)[T.past perfect],0.05841195242745627,0.03393462738402072,1.7213082013967107,0.08519491203825467,-0.008098695074011009,0.12492259992892354
C(tense)[T.present continuous],0.20861729213169683,0.03393462738402072,6.147622891829112,7.865275729727554e-10,0.14210664463022954,0.2751279396331641
C(tense)[T.present perfect],0.11613660539899688,0.03393462738402077,3.422362770769176,0.0006207942585238441,0.04962595789752951,0.18264725290046424
C(tense)[T.simple future],0.4904057094029013,0.03393462738402077,14.451483549627095,2.45343804698661e-47,0.4238950619014339,0.5569163569043687
C(tense)[T.simple past],-0.011356680733815275,0.033934627384020845,-0.33466348710117017,0.7378789477513068,-0.0778673282352828,0.05515396676765225
C(syntactic_role)[T.subject],-0.03664710635238321,0.033112279879095194,-1.1067527360301053,0.2684008479646597,-0.1015459823614201,0.028251769656653665
C(valence)[T.-val],0.08052775065104462,0.026285649343613327,3.0635633002009364,0.0021871792757735308,0.029008824627313586,0.13204667667477565
C(dominance)[T.-dom],0.029142397925971834,0.024782347865014275,1.1759336962222504,0.2396213723951668,-0.01943011134179925,0.07771490719374291
C(semantic_role)[T.patient],0.10420503162159264,0.0317404009178558,3.2830408125995447,0.0010269379698081564,0.041994988967733196,0.1664150742754521
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821551,0.030352053448718566,2.099501799964901,0.0357726893153707,0.0042352592318923785,0.12321312246453864
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026906,0.03035205344871857,3.248562777700033,0.0011598961116889423,0.03911161944394592,0.1580894826765922
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14757559640067053,0.030352053448718563,4.862128905051103,1.1612995346174946e-06,0.0880866647843474,0.20706452801699365
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.227995954241073,0.030352053448718566,7.51171431041015,5.835803685789959e-14,0.16850702262474987,0.2874848858573961
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.0792964390345991,0.030352053448718594,2.6125559896161437,0.008986797081720519,0.019807507418275916,0.13878537065092228
C(tense)[T.past perfect]:C(valence)[T.-val],-0.07115565708705417,0.030352053448718483,-2.3443440888530223,0.019060577760807596,-0.13064458870337714,-0.0116667254707312
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06482369559151811,0.030352053448718483,-2.1357268529142988,0.03270168431593669,-0.12431262720784109,-0.005334763975195146
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0603886195591525,0.030352053448718504,-1.989605733305078,0.046634384095347974,-0.11987755117547551,-0.0008996879428294913
C(tense)[T.simple future]:C(valence)[T.-val],0.04965645926339258,0.030352053448718507,1.636016467462076,0.10183614098435258,-0.009832472352930437,0.10914539087971559
C(tense)[T.simple past]:C(valence)[T.-val],-0.05859592982700976,0.030352053448718504,-1.930542522469225,0.05353965177293519,-0.11808486144333277,0.0008930017893132511
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.07986188616071642,0.03035205344871848,-2.6311856064581467,0.008508755248079354,-0.1393508177770394,-0.02037295454439346
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.11133510044643047,0.030352053448718483,-3.66812415623007,0.00024433653567791267,-0.17082403206275343,-0.0518461688301075
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09779793875558264,0.030352053448718507,-3.2221193508642743,0.0012724611816310875,-0.15728687037190564,-0.038309007139259624
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.21883370535714425,0.0303520534487185,-7.209848444912502,5.601418502928206e-13,-0.27832263697346726,-0.15934477374082123
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.055177089146207774,0.030352053448718504,-1.8179030041388322,0.06907895908652058,-0.11466602076253078,0.004311842470115235
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.0006112234933028311,0.03035205344871825,-0.020137797079711018,0.9839334485426247,-0.06010015510962534,0.05887770812301968
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.019991629464284674,0.03035205344871825,-0.6586582188932232,0.5101152684421366,-0.07948056108060718,0.03949730215203784
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.017627389090402526,0.030352053448718243,0.5807643005171014,0.5613993184595321,-0.04186154252591997,0.07711632070672503
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.06889822823660868,0.030352053448718243,2.269969257698386,0.023209448364793186,0.009409296620286188,0.12838715985293117
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.03298296247209783,0.030352053448718275,-1.0866797703761508,0.27717835735594587,-0.09247189408842038,0.026505969144224727
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.0845331101190479,0.017523766229075477,-4.823912223777008,1.4076938656395973e-06,-0.11887906080153512,-0.05018715943656069
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],-0.21188877650669655,0.017523766229075505,-12.091508967697242,1.1711570008131876e-33,-0.24623472718918382,-0.17754282582420927
C(valence)[T.-val]:C(dominance)[T.-dom],-0.023900204613097515,0.017523766229075487,-1.3638737415614586,0.17260730644145872,-0.058246155295584745,0.010445746069389712
C(valence)[T.-val]:C(semantic_role)[T.patient],-0.007170177641370217,0.017523766229075505,-0.4091687567409698,0.6824158209627877,-0.04151612832385748,0.027175773041117044
C(dominance)[T.-dom]:C(semantic_role)[T.patient],-0.008920724051340898,0.017523766229075494,-0.509064314983819,0.610707143856634,-0.04326667473382814,0.025425226631146342
