term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.316759672615962,0.3126123551963786,4.212116542191023,2.5298895145793136e-05,0.7040507153088172,1.929468629923107
C(tense)[T.past perfect],0.05841195242746438,0.033926088916777807,1.7217414176668426,0.08511637095038327,-0.00808195998572362,0.12490586484065239
C(tense)[T.present continuous],0.2086172921317066,0.03392608891677779,6.149170116350697,7.788940377947565e-10,0.14212337971851863,0.27511120454489457
C(tense)[T.present perfect],0.11613660539900565,0.033926088916777716,3.4232241059054633,0.0006188303528380675,0.04964269298581783,0.18263051781219347
C(tense)[T.simple future],0.49040570940291384,0.0339260889167777,14.455120677361371,2.327215587454927e-47,0.42391179698972603,0.5568996218161016
C(tense)[T.simple past],-0.011356680733808413,0.03392608891677762,-0.3347477147061341,0.7378154047130017,-0.07785059314699604,0.055137231679379214
C(syntactic_role)[T.subject],-0.0536751883370755,0.03425107027922892,-1.5671098129049141,0.11708902589698501,-0.12080605251631443,0.01345567584216343
C(valence)[T.-val],0.07694266183035899,0.024776112250193556,3.1055179704296783,0.001899460785568214,0.028382374143057977,0.12550294951766
C(dominance)[T.-dom],0.007653953915550007,0.024776112250193556,0.308924735174713,0.7573787805441559,-0.040906333771751,0.05621424160285102
C(semantic_role)[T.patient],0.09615958077557499,0.029219005678498732,3.2909942875412606,0.0009983394056098669,0.03889138198164615,0.15342777956950382
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821086,0.030344416411446806,2.1000301994330735,0.035726184650543336,0.00425022754988897,0.12319815414653276
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026387,0.030344416411446803,3.2493803711139706,0.0011565671317517005,0.039126587761941986,0.15807451435858577
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14757559640066586,0.03034441641144678,4.86335259837115,1.154139817966666e-06,0.08810163310234403,0.2070495596989877
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.22799595424106622,0.03034441641144678,7.513604847416333,5.752103420237741e-14,0.1685219909427444,0.28746991753938805
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07929643903459502,0.03034441641144678,2.613213513794325,0.008969524732260523,0.01982247573627318,0.13877040233291685
C(tense)[T.past perfect]:C(valence)[T.-val],-0.07115565708705737,0.03034441641144703,-2.344934109861966,0.01903044235949163,-0.1306296203853797,-0.01168169378873505
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06482369559152207,0.03034441641144703,-2.1362643694498007,0.03265787135926762,-0.1242976588898444,-0.005349732293199745
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06038861955915599,0.030344416411446983,-1.9901064742960513,0.046579207768233495,-0.11986258285747822,-0.0009146562608337502
C(tense)[T.simple future]:C(valence)[T.-val],0.049656459263388034,0.030344416411446987,1.6364282176359755,0.10174999755644216,-0.009817504034934213,0.10913042256171028
C(tense)[T.simple past]:C(valence)[T.-val],-0.0585959298270125,0.03034441641144696,-1.9310283985197387,0.05347954058507858,-0.1180698931253347,0.000878033471309693
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0798618861607162,0.030344416411447025,-2.6318478193104866,0.008492189193712706,-0.1393358494590385,-0.02038792286239388
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.11133510044643097,0.03034441641144703,-3.6690473442234754,0.00024345599462126746,-0.1708090637447533,-0.051861137148108645
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09779793875558279,0.03034441641144698,-3.2229302890363045,0.0012688642987234247,-0.157271902053905,-0.03832397545726056
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.21883370535714605,0.030344416411446983,-7.211663008770017,5.527262730294737e-13,-0.2783076686554683,-0.1593597420588238
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.055177089146207114,0.03034441641144695,-1.8183605312439766,0.06900904667222268,-0.11465105244452928,0.004296874152115056
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.0006112234933080018,0.030344416411447164,-0.020142865330487064,0.9839294054836623,-0.06008518679163059,0.058862739805014594
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.019991629464290558,0.03034441641144716,-0.6588239890073778,0.5100088008436008,-0.07946559276261314,0.03948233383403203
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.017627389090396912,0.030344416411447157,0.5809104664061735,0.5613007979429201,-0.04184657420792567,0.07710135238871949
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.0688982282366018,0.030344416411447157,2.2705405601608657,0.02317480525673823,0.00942426493827922,0.12837219153492438
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0329829624721026,0.03034441641144712,-1.0869532643132367,0.27705746469763504,-0.09245692577042511,0.026491000826219906
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.08453311011904588,0.01751935698355108,-4.825126298779915,1.3991457574460153e-06,-0.11887041883910628,-0.05019580139898548
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.03405616396949686,0.01751935698355108,1.943916320757216,0.05190554279579563,-0.00028114475056353894,0.06839347268955726
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],-0.21188877650669516,0.01751935698355108,-12.094552140563005,1.1285601875119269e-33,-0.24622608522675554,-0.17755146778663478
C(valence)[T.-val]:C(dominance)[T.-dom],-0.02390020461309379,0.017519356983551084,-1.3642169992616555,0.17249927954440525,-0.05823751333315419,0.010437104106966615
