,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5576305080888789,0.02156505430906662,0.15838853374128342
carpenter,2.4400450691604223,0.1822119696582519,0.06075671399724559
cashier,-0.8559100449642586,0.01685775227125236,-0.010106314786549175
ceo,0.43004793148729226,-0.0009600179022192635,-0.02924392501501779
cleaner,-0.7431891236358416,-0.03998282218092375,-0.05164048497680584
cook,-0.10248051863126773,0.03439807909739005,-0.004443164066322975
designer,0.26059149468577414,-0.03577715971634344,-0.007037466435035315
driver,1.0412992112957866,-0.013258363715204889,-0.12432334987991217
lawyer,0.9932919678700558,-0.07152588858438379,0.09847072838445074
manager,0.5164857498456936,0.041507129132506336,-0.01899716789996813
receptionist,-2.180988152071546,-0.02489732638314135,0.088900170917651
salesperson,0.2215892077676888,-0.028294551744935413,-0.07266740135956054
secretary,-1.8960428724316687,-0.06473628422511886,0.013286122112021705
teacher,-0.6823704285911955,-0.017107570020065632,-0.10134299473414118
