term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3378929501586023,0.31271785254809764,4.278274934600439,1.8834729743503028e-05,0.7249772218416238,1.950808678475581
C(tense)[T.past perfect],0.05841195242745807,0.03398513992236777,1.718749799497323,0.08565993992942074,-0.008197697829937123,0.12502160268485327
C(tense)[T.present continuous],0.2086172921316988,0.03398513992236777,6.138485603067786,8.331186127549354e-10,0.1420076418743036,0.275226942389094
C(tense)[T.present perfect],0.11613660539899796,0.03398513992236776,3.4172760701968197,0.0006325110434782285,0.04952695514160278,0.18274625565639313
C(tense)[T.simple future],0.49040570940290285,0.03398513992236775,14.430004128955671,3.350610674987864e-47,0.42379605914550766,0.557015359660298
C(tense)[T.simple past],-0.01135668073381463,0.03398513992236767,-0.3341660725763295,0.738254244014104,-0.07796633099120963,0.05525296952358037
C(syntactic_role)[T.subject],-0.09594174339651938,0.03314138630077747,-2.8949224551378734,0.003792522079908042,-0.16089766694377233,-0.03098581984926642
C(valence)[T.-val],0.034676106770834283,0.02321627037058275,1.4936122907481406,0.13527698509758826,-0.01082694701085228,0.08017916055252085
C(dominance)[T.-dom],0.0076539539155510965,0.02481923700726626,0.30838796185838707,0.7577871409537793,-0.04099085674245445,0.05629876457355665
C(semantic_role)[T.patient],0.09615958077597617,0.029246475017379654,3.2879032676188684,0.001009365143127539,0.03883754306716159,0.15348161848479075
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.06372419084821224,0.0303972332365021,2.0963812841916782,0.03604838130128908,0.004146708475004222,0.12330167322142024
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.09860055106026576,0.030397233236502102,3.2437343982301203,0.0011797369779091363,0.03902306868705774,0.15817803343347378
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14757559640066764,0.030397233236502084,4.854902262073431,1.2044613484788445e-06,0.08799811402745966,0.20715307877387562
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.22799595424106922,0.030397233236502084,7.500549555519531,6.355082525199788e-14,0.16841847186786124,0.2875734366142772
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07929643903459653,0.030397233236502074,2.6086729149867023,0.009089407650879636,0.019718956661388565,0.1388739214078045
C(tense)[T.past perfect]:C(valence)[T.-val],-0.0711556570870548,0.030397233236501862,-2.340859660924964,0.019239397508548785,-0.13073313946026235,-0.011578174713847249
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06482369559151897,0.030397233236501862,-2.132552495392141,0.03296145379038441,-0.12440117796472652,-0.005246213218311417
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06038861955915289,0.03039723323650184,-1.986648557429778,0.04696135622794024,-0.1199661019323604,-0.0008111371859453737
C(tense)[T.simple future]:C(valence)[T.-val],0.04965645926339215,0.030397233236501835,1.6335848357331189,0.10234605406371658,-0.009921023109815352,0.10923394163659965
C(tense)[T.simple past]:C(valence)[T.-val],-0.05859592982701008,0.03039723323650178,-1.927673132982596,0.053895795949484314,-0.11817341220021747,0.0009815525461973063
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.07986188616071542,0.03039723323650188,-2.627274842396345,0.008607178263663988,-0.139439368533923,-0.020284403787507836
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.11133510044642952,0.03039723323650188,-3.6626721774380147,0.00024959787748384145,-0.17091258281963712,-0.05175761807322194
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09779793875558136,0.03039723323650186,-3.2173302745903474,0.001293895568398031,-0.1573754211287889,-0.03822045638237381
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.21883370535714328,0.030397233236501855,-7.19913235703181,6.059690823586459e-13,-0.27841118773035084,-0.15925622298393574
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.05517708914620627,0.0303972332365018,-1.815201032176447,0.06949302114879816,-0.1147545715194137,0.004400393227001163
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.0006112234933029659,0.03039723323650225,-0.020107866020154214,0.9839573252382677,-0.06018870586651128,0.058966258879905344
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.01999162946428478,0.03039723323650225,-0.6576792469479757,0.5107442604621293,-0.0795691118374931,0.03958585290892353
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.017627389090402606,0.03039723323650224,0.5799011032765612,0.5619813116930925,-0.04195009328280569,0.0772048714636109
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.06889822823660895,0.030397233236502234,2.2665953740116436,0.023414954948362588,0.009320745863400669,0.12847571060981722
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.03298296247209755,0.03039723323650221,-1.0850646246478215,0.2778930338025234,-0.09256044484530579,0.026594519901110683
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0340561639694946,0.017549850791714287,1.940538661763059,0.05231426033100613,-0.000340911516317155,0.06845323945530636
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],-0.21188877650669624,0.017549850791714287,-12.073537206751302,1.4573271981712424e-33,-0.246285851992508,-0.1774917010208845
C(valence)[T.-val]:C(dominance)[T.-dom],-0.02390020461309515,0.017549850791714297,-1.3618465989681807,0.17324630191024026,-0.05829728009890693,0.01049687087271663
