,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5577197113344193,0.021616253230286916,0.15815679907084434
carpenter,2.4402060137168387,0.18191138596741455,0.0607315236526827
cashier,-0.8558458987759876,0.016714089075779127,-0.010085655798651203
ceo,0.43000713122975504,-0.0009249159987930667,-0.029199654617820363
cleaner,-0.7432347194077246,-0.03995300915068745,-0.05157710549363008
cook,-0.10242881425820641,0.0342779799119505,-0.00442425292604985
designer,0.2605229295535459,-0.035641221357613634,-0.007039363246379239
driver,1.041155005726474,-0.01316011774165725,-0.1241390175717193
lawyer,0.9931925004217504,-0.07116193488413737,0.0982968778460855
manager,0.5165061539510148,0.04142174246593988,-0.018953210745362027
receptionist,-2.1808566027040572,-0.025005309161217366,0.08875500859986225
salesperson,0.22149661201929524,-0.0282118862924616,-0.07256727747932526
secretary,-1.8960253085433096,-0.06472010536682961,0.013241479191788166
teacher,-0.6824147143210052,-0.017162950699789563,-0.10119615048268517
